API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
CurrencyAPI.net,https://rapidapi.com/currencyapinet/api/currencyapi-net/,currencyapi-net.p.rapidapi.com,GET:Convert,Convert a custom amount value from one currency to another,,[{}],"[{'参数名': ['output'], '参数类型': ['STRING'], '参数注意事项': ['The output of the response. Either JSON or XML']}]"
CurrencyAPI.net,https://rapidapi.com/currencyapinet/api/currencyapi-net/,currencyapi-net.p.rapidapi.com,GET:Currencies,Gets list of currencies we support,,[{}],"[{'参数名': ['output'], '参数类型': ['STRING'], '参数注意事项': ['The output of the response. Either JSON or XML']}]"
CurrencyAPI.net,https://rapidapi.com/currencyapinet/api/currencyapi-net/,currencyapi-net.p.rapidapi.com,GET:Timeframe,Display a currency conversion's historical rates within a given timeframe,,[{}],"[{'参数名': ['output'], '参数类型': ['STRING'], '参数注意事项': ['The output of the response. Either JSON or XML']}]"
CurrencyAPI.net,https://rapidapi.com/currencyapinet/api/currencyapi-net/,currencyapi-net.p.rapidapi.com,GET:Rates,Get live currency conversion rates of a given currency,,[{}],"[{'参数名': ['output', 'base'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The output of the response. Either JSON or XML', 'Change the base currency. Eg GBP or BTC']}]"
CurrencyAPI.net,https://rapidapi.com/currencyapinet/api/currencyapi-net/,currencyapi-net.p.rapidapi.com,GET:History,Display the currency conversions historical rates for a particular day,,[{}],"[{'参数名': ['output'], '参数类型': ['STRING'], '参数注意事项': ['The output of the response. Either JSON or XML']}]"
Indian Bank Account Verification,https://rapidapi.com/idfy-idfy-default/api/indian-bank-account-verification/,indian-bank-account-verification.p.rapidapi.com,GET:GET Call,Used to fetch api result using the request id received in responses.,,"[{'参数名': ['request_id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Indian Bank Account Verification,https://rapidapi.com/idfy-idfy-default/api/indian-bank-account-verification/,indian-bank-account-verification.p.rapidapi.com,POST:Indian Bank Account Verification,"With the Bank Account Verification solution, you can now onboard with confidence knowing that that the individual’s/ merchant’s account details you have are genuine and indeed belong to the individual/ merchant that you are onboarding, thereby reducing the potential of fraud. ...",,[{}],[{}]
CryptoInfo,https://rapidapi.com/1ex-1ex-default/api/cryptoinfo/,cryptoinfo.p.rapidapi.com,GET:Get last 5 news,Get last 5 actual and processed financial news,Cache requests,[{}],[{}]
CryptoInfo,https://rapidapi.com/1ex-1ex-default/api/cryptoinfo/,cryptoinfo.p.rapidapi.com,GET:Get last 5 economic calendar news,Get last 5 actual and processed economic calendar news,Cache requests,[{}],[{}]
CryptoInfo,https://rapidapi.com/1ex-1ex-default/api/cryptoinfo/,cryptoinfo.p.rapidapi.com,GET:Get economic calendar news over a period of time,You can get news from one date to another. Maximum from 30 days range,Database requests,[{}],"[{'参数名': ['time_start', 'time_finish'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]"
