API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/binfoconsultas/api/quadro-de-socios-cpf-cnpj/,2022-11, BINFO ,Quadro de sócios CPF/CNPJ,Consultar Quadro de Sócios e Administradores registrados na Receita Federal,9.6,"1,702 ms",100%
https://rapidapi.com/rosoemawd/api/house-plants/,2023-01, Ema Roso ,House Plants,"This API provides a database of house plants, along with their description and information how to best take care of them (ideal temperature, light, etc.). All proceeds go to charity (donated at the end of each month).",9.6,758 ms,93%
https://rapidapi.com/idfy-idfy-default/api/pan-card-verification1/,2023-01, IDfy ,PAN Card Verification,"Instant PAN Card Verification using government database check. IDfy’s PAN Card Verification API instantly verifies details of a PAN Card by confirming them from the Government database. This makes your onboarding process faster, safer and smarter. With IDfy’s PAN verification, you can be confident that the individuals or merchants you onboard hold a valid PAN card and have provided you with the right identity proof.",9.7,"1,047 ms",100%
https://rapidapi.com/ranjian0/api/cpu-data/,2023-01, Ian Karanja ,CPU Data,Get quick access to data on various CPUs.,9.6,55 ms,100%
https://rapidapi.com/rahilkhan224/api/pan-card-verification-at-lowest-price/,2023-11, AK IT services ,Pan Card Verification at Lowest price,"Instant PAN Card Verification using government database check. (Made in India). PAN Card Verification API instantly verifies details of a PAN Card by confirming them from the Government database. This makes your onboarding process faster, safer and smarter. With our PAN verification, you can be confident that the individuals or merchants you onboard hold a valid PAN card and have provided you with the right identity proof.",9.5,"4,490 ms",100%
https://rapidapi.com/alexandremeylan92/api/car-code/,2023-10, Alexandre ,car code,This is a simple API that will return the human readable version of DTC codes (OBD-II Trouble Codes).,9.7,63 ms,100%
https://rapidapi.com/makingdatameaningful/api/restaurants-near-me-usa/,2023-10, Making Data Meaningful ,Restaurants near me USA,"USA Restaurants database. Find restaurants near you by querying this complete and comprehensive restaurant API. The API will return 10 results per page. Please use the ""page"" field for pagination.",9.6,374 ms,100%
https://rapidapi.com/rahilkhan224/api/imdb-movies-web-series-etc-search/,2023-09, AK IT services ,"IMDB (Movies, Web Series, etc.) Search","online database of information related to films, television series, home videos, video games, and streaming content online – including cast, production crew and personal biographies, plot summaries, trivia, ratings, and fan and critical reviews.",9.6,363 ms,100%
https://rapidapi.com/makingdatameaningful/api/motorcycle-specs-database/,2023-10, Making Data Meaningful ,Motorcycle Specs Database,"--- DEMO http://api-motorcycle.makingdatameaningful.com/ ---- The complete Motorcycle Database with specifications for all Makes & Models [year 1900 to 2023]. Full specs & images included. Real-Time updated. We provide a motorcycle database delivered through API. There are more than 35,000 moto models available along with 20+ technical information fields. One image per model is also included. Our fast API is delivered through several endpoints in order to satisfy different request types. ...",9.7,222 ms,100%
https://rapidapi.com/binfoconsultas/api/dados-cnpj/,2022-11, BINFO ,Dados CNPJ,Busca os dados de um CNPJ diretamente na base de dados da Receita Federal.,9.6,"1,231 ms",100%
https://rapidapi.com/whoisapi/api/whois-v2/,2021-11, Whois XML API ,WHOIS v2,"WHOIS API (v2) returns well-parsed WHOIS records with fields in XML and JSON formats for any IPv4, IPv6 address, domain name, or email.",9.7,"1,862 ms",100%
https://rapidapi.com/airaudoeduardo/api/checkleakedcc-official/,2023-10, CheckLeakedCC ,CheckLeakedCC Official,CheckLeaked.cc official api implementation to obtain results from experimental / dehashed search.,9.7,"9,853 ms",96%
https://rapidapi.com/rahilkhan224/api/all-cars-names-image-and-variants-info/,2023-01, AK IT services ,"All Cars Names, Image and Variants Info","Search All Cars Names, Image and Variants Info with this api ,search once and get list of all cars. use it for auto-suggestion",9.8,945 ms,99%
https://rapidapi.com/ocean-express-ocean-express-default/api/car-info/,2023-09, Ocean-Express ,Car Info,Car information is only available in New Zealand. Detect the vehicle number plate using the license plate recognition and detection API.,8.8,"2,845 ms",99%
https://rapidapi.com/idfy-idfy-default/api/udyam-aadhaar-verification/,2023-01, IDfy ,Udyam Aadhaar Verification,"Make your onboarding process safer, faster, and smarter by verifying the legitimacy of the MSME merchants operating in the manufacturing or service sectors, on your platform. With IDfy’s Udyam Aadhaar verification API, you can now confidently onboard merchants knowing that the merchant exists, is genuine and is authorized to partake in the manufacture or service sector by the Ministry of MSME.",9.3,115 ms,96%
https://rapidapi.com/idfy-idfy-default/api/vehicle-rc-verification/,2021-11, IDfy ,Vehicle RC Verification,"You can now confidently onboard vehicles and individuals knowing that the vehicle is genuine, registered by an RTO, and associated with a specific individual. Vehicle RC verification API helps to establish a link between the vehicle and its owner, thereby minimizing the potential for fraud.",9.2,122 ms,100%
https://rapidapi.com/alex.pcs8509/api/curp-de-renapo-clave-unica-de-registro-de-poblacion/,2023-08, Alex Developer ,CURP de RENAPO (Clave Única de Registro de Población),API creada para consultar y validar información de la CURP desde RENAPO.,9.0,582 ms,100%
https://rapidapi.com/idfy-idfy-default/api/icai-chartered-accountant-verification/,2021-11, IDfy ,ICAI Chartered Accountant Verification,This API checks the genuineness of the CA membership,8.9,106 ms,100%
https://rapidapi.com/raajreact/api/list-of-philosophers/,2023-02, Pizza API ,List oF Philosophers,"With the Philosophers API, you can learn about philosophers such as Socrates, Plato, and Aristotle, as well as lesser-known but equally important thinkers. You can access information on the philosophies of these thinkers, as well as the historical context in which they lived. This API is perfect for anyone looking to build applications centered around philosophy, history, or culture. Whether you're developing a website, a mobile app, or a game, the Philosophers API by Pizza API will provide ...",8.8,610 ms,100%
https://rapidapi.com/data-axle-data-axle-default/api/data-axle-business-phone-search/,2021-11, Data Axle ,Data Axle Business Phone Search,Find relevant businesses by phone number.,8.7,912 ms,100%
https://rapidapi.com/admhsni/api/fwd-api/,2023-05, 64c ,fwd-api,resource forwarding api powered by Firebase storage & Heroku,8.6,"1,765 ms",94%
https://rapidapi.com/encurate/api/airplanesdb/,2022-11, encurate ,AirplanesDB,Get the basic specifications on all types of commercial airplanes.,9.3,599 ms,100%
https://rapidapi.com/idfy-idfy-default/api/mci-nmc-doctor-verification/,2021-11, IDfy ,MCI NMC Doctor Verification,This API allows the client to verify the integrity and validity of a medical certificate,9.1,110 ms,100%
https://rapidapi.com/zyla-labs-zyla-labs-default/api/database-of-airports-api/,2023-03, Zyla Labs ,Database Of Airports API,"The Database of Airports API is a useful resource for developers looking to obtain detailed information on airports worldwide. With the ability to access data such as airport location, IATA and ICAO codes, and other relevant details using the IATA code.",9.2,"1,366 ms",100%
https://rapidapi.com/aligulajeff/api/garden-api/,2023-07, Jeff A ,Garden API,"The GARDEN API is a robust and all-encompassing plant and flower data API, purposefully created to provide extensive information. With its power-packed features, developers can access a wide range of plant-related data, including detailed descriptions, care instructions, growth patterns, and more. The GARDEN API is the ultimate tool for integrating comprehensive plant and flower information into applications, websites, and other projects.",9.1,"12,287 ms",100%
https://rapidapi.com/idfy-idfy-default/api/passport-verification/,2021-11, IDfy ,Passport Verification,Instant Passport Verification using government database check. IDfy’s Passport Verification API instantly verifies details of a Passport by confirming them from the Government database.,9.0,103 ms,100%
https://rapidapi.com/data-axle-data-axle-default/api/data-axle-consumer-phone-search/,2021-11, Data Axle ,Data Axle Consumer Phone Search,Find relevant people in real-time.,,,
https://rapidapi.com/encurate/api/dogbreeddb/,2022-11, encurate ,DogBreedDB,Get the basic metadata on all breeds of dogs from around the world. Check out encurate.app to manage content on your mobile apps. Contact to feature your app on encurate.app website.,9.4,750 ms,100%
https://rapidapi.com/roapis-roapis-default/api/veiculos-api/,2023-09, roApis ,veiculos-api,"Tabela FIPE - Busca por marca, modelo e versão. Atualizado: 08/08/2023",9.1,"1,751 ms",100%
https://rapidapi.com/societe-contacts-societe-contacts-default/api/societe-contacts/,2023-01, Societe Contacts ,Societe Contacts,"API which allows to have information on French companies including their contact information (emails, telephone numbers, websites, social networks)",9.1,241 ms,100%
