API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/apidojo/api/hotels4/,2022-11, Api Dojo ,Hotels,"This API helps to query rooms, price, facilities, policities, etc information from many hotels around the world to create a travelling site/application, such as : hotels.com",9.9,"2,084 ms",100%
https://rapidapi.com/apidojo/api/booking/,2022-11, Api Dojo ,Booking,"This API helps to query rooms, price, facilities, policities, etc information from many hotels around the world to create a travel site such as : booking.com",9.9,"2,566 ms",100%
https://rapidapi.com/webcams.travel/api/webcams-travel/,2021-11, webcams.travel ,webcams.travel,"The World's Largest Landscape Webcam API ***** Get webcams by categories, country, region or just nearby your location ***** Get timelapse slideshows for every webcam ***** Get an uncluttered webcam layer for your map",9.9,"1,483 ms",100%
https://rapidapi.com/trailapi/api/trailapi/,2022-11, trailapi ,TrailAPI,"Information and photos for tens of thousands of outdoor recreation locations including hiking and mountain biking trails, campgrounds, ski resorts, ATV trails, and more.",9.7,"1,658 ms",100%
https://rapidapi.com/marcusgoede/api/great-circle-mapper/,2021-11, Marcus Göde ,Great Circle Mapper,Use Great Circle Mapper to calculate the air distance and flight time between all airports worldwide.,9.6,567 ms,100%
https://rapidapi.com/ntd119/api/airbnb-search/,2023-11, Things4u ,Airbnb Search,"Real-time data, unofficial airbnb API, get airbnb listings data, place to stay at an amazing price. Airbnb com is a well-known and widely used online marketplace for short-term accommodation rentals around the world.",9.8,"1,855 ms",100%
https://rapidapi.com/nabeeldev1340/api/ai-trip-planner/,2023-08, nabeel-dev1340 ,AI Trip Planner,"The API generates personalized trip plans based on the user's specified number of days and location. Using AI, the system recommends popular tourist attractions, local experiences, and accommodations based on user preferences and past travel behavior. The generated trip plans can be customized and adjusted to suit the user's needs, making it a valuable tool for anyone planning a trip.",9.6,"55,550 ms",93%
https://rapidapi.com/emir12/api/nomad-list-cities/,2023-03, CoinSpot ,Nomad List Cities,"Explore best cities to live for digital nomads! Sort by internet speed, cost of living and more! Filter by continents",9.6,916 ms,100%
https://rapidapi.com/3b-data-3b-data-default/api/flixbus2/,2022-11, 3B Data / @CRAWLER2API ,Flixbus,"New Flixbus API that provides Flixbus travel search, timetables, stops, cities, routes and autocomplete.",9.6,"1,271 ms",100%
https://rapidapi.com/apiheya/api/sky-scrapper/,2023-10, apiheya ,Sky Scrapper,"This API helps to query prices for real-time flights, hotels, rental cars, etc... to create a travel website like the sky scanner. This API reproduces public data on real time basis.",9.8,"1,548 ms",100%
https://rapidapi.com/farish978/api/flight-fare-search/,2023-10, Mohammed Farish ,Flight Fare Search,"Elevate your travel game with Flight Fare Search API! Get real-time flight data, fares, and airport info for seamless travel planning. Transform your app into a powerful travel companion with Flight Fare Search.",9.8,"3,781 ms",74%
https://rapidapi.com/random-shapes-random-shapes-default/api/ski-resorts-and-conditions/,2021-11, Random Shapes ,Ski Resorts and Conditions,Ski Resorts and Conditions,9.7,99 ms,100%
https://rapidapi.com/3b-data-3b-data-default/api/airbnb13/,2023-11, 3B Data / @CRAWLER2API ,Airbnb,"Get Airbnb listings data, find rooms, search availability, prices on all locations.",9.9,"2,823 ms",100%
https://rapidapi.com/tipsters/api/hotels-com-provider/,2023-10, Tipsters CO ,Hotels com Provider,"Search hotels, see prices, photos of the hotels, reviews. You can make a website like: hotels.com, booking.com, agoda.com **Support**: [tipsters@rapi.one](mailto:tipsters@rapi.one) / t.me/api_tipsters",9.9,"1,408 ms",100%
https://rapidapi.com/airlineconsolidator/api/multi-site-flight-search/,2023-08, airlineconsolidator ,Multi Site Flight Search,"Search flights prices from: Expedia, Orbitz, Travelocity, Hotwire, Kayak +",9.6,548 ms,100%
https://rapidapi.com/3b-data-3b-data-default/api/deutsche-bahn1/,2022-11, 3B Data / @CRAWLER2API ,Deutsche Bahn,"Search stations and trips within Deutsche Bahn network. Find a train or public transport stop, search trains, trams, subway, and buses between two stations in the german railway network.. Get journey and fare data, departure and arrival times for any stop in Germany",9.5,"1,455 ms",100%
https://rapidapi.com/DataCrawler/api/airbnb19/,2023-11, DataCrawler ,Airbnb,"Airbnb API allows users to search accommodations by location, place name, and GEO coordinates to find a place to rent. This API has all needed by any developer to create a new application with some extended features.",9.9,870 ms,100%
https://rapidapi.com/karanp41-eRiF1pYLK1P/api/world-airports-directory/,2023-02, Krishan Pal ,World Airports Directory,"API returns all matching airpot details based on the most relevant keyword of city, airport code, city code etc. among collection of all airports around the world.",9.7,"1,142 ms",99%
https://rapidapi.com/collectapi/api/gas-price/,2021-11, CollectAPI ,Gas Price,Reach gasoline and diesel prices in different fuel stations in different cities.,9.6,"1,362 ms",100%
https://rapidapi.com/oag-oag-default/api/flight-info-api/,2023-10, OAG Aviation Worldwide Limited ,Flight Info API,Quickly look up flight information and get both future flight schedules and flight status data.,9.7,449 ms,100%
https://rapidapi.com/traveltables/api/cost-of-living-and-prices/,2021-11, traveltables ,Cost of living and prices,Prices for more then 60 goods and services for more then 8000+ cities around the world from TravelTables.com,9.7,"1,554 ms",99%
https://rapidapi.com/DataCrawler/api/tripadvisor16/,2023-09, DataCrawler ,Tripadvisor,"Tripadvisor API helps to query realtime Hotels search, Flights prices, Restaurants, Attracting locations, etc to create a travelling site.",9.9,"5,370 ms",99%
