API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/kazamos/api/remote-jobs-api/, 8 months ago , kazamos ,Remote Jobs API,"Get a list of remote jobs from different resources: weworkremotely, remoteok, GitHub, StackOverflow, Twitch, Mailchimp, Figma...",9.6,774 ms,100%
https://rapidapi.com/bebity-bebity-default/api/linkedin-jobs-scraper-api/, a month ago , Bebity.io ,Linkedin jobs scraper API,"ℹ️ Designed for both personal and professional use, simply enter your desired job title and location to receive a tailored list of job opportunities. Try it today!",9.8,"66,846 ms",65%
https://rapidapi.com/it-engineering-solutions-it-engineering-solutions-default/api/upwork-api2/, 5 months ago , IT Engineering Solutions ,Upwork API,,9.6,"2,602 ms",100%
https://rapidapi.com/jobwiz-jobwiz-default/api/job-search-api1/, 8 days ago , JobWiz ,Job Search API,Search millions of job listings from hundreds of sources in hundreds of cities. The salary range is provided when it's available.,9.5,"3,543 ms",99%
https://rapidapi.com/avaneesab5/api/jobsearch4/, 3 months ago , Ava ,JobSearch,An Easy To Use Job Search API - https://www.jobtransparency.com/,9.8,763 ms,100%
https://rapidapi.com/vuesdata/api/indeed-jobs-api-sweden/, 7 months ago , Vues Data ,Indeed Jobs API - Sweden,"Indeed Jobs API - Sweden Get the Jobs List as JSON by giving Keyword, Location (Sweden Only) and offset value. Contact me at: vuesdata@gmail.com or visit https://www.vuesdata.com for building custom spiders or custom requests.",9.3,"3,646 ms",100%
https://rapidapi.com/qurazor1/api/remoote-job-search1/, 24 days ago , Mikhail Astashkevich ,Remoote Job Search,Remoote Job Search,9.2,690 ms,96%
https://rapidapi.com/vuesdata/api/indeed-jobs-api-finland/, 7 months ago , Vues Data ,Indeed Jobs API - Finland,"Indeed Jobs Search API - Finland Get the Jobs List as JSON by giving Keyword, Location (Finland Only) and offset value. Contact me at: vuesdata@gmail.com or visit https://www.vuesdata.com for building custom spiders or custom requests.",9.4,"3,301 ms",100%
https://rapidapi.com/maurobonfietti/api/open-to-work-remote-api/, a month ago , maurobonfietti ,Open To Work Remote API,"Open To Work Remote API: I build a powerful Job Search API for developers. Here you'll find a great list of remote jobs. It contains accurate sources and allows different filters. For more info: https://api.opentoworkremote.com/ And if you have any doubt, contact me: https://www.opentoworkremote.com/contact More Links: https://linktr.ee/maurobonfietti",9.0,470 ms,100%
https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/, 2 days ago , JobWiz ,Job Descriptions API,"Our API can estimate salary ranges, classify job descriptions, extract information from job descriptions and moderate job descriptions.",9.3,"3,930 ms",99%
https://rapidapi.com/imploms/api/ai-resume-generator/, 5 months ago , 2hearted ,AI Resume Generator,"Document Generation API that uses OpenAI to create an example resume when provided the following data: University Name, Degree, and a list of Skills",9.4,"15,762 ms",100%
https://rapidapi.com/vuesdata/api/indeed-jobs-api/, 7 months ago , Vues Data ,Indeed Jobs API,"Indeed Jobs Search API - USA Get the Jobs List as JSON by giving Keyword, Location (USA Only) and offset value. Contact me at: vuesdata@gmail.com or visit https://www.vuesdata.com for building custom spiders or custom requests.",9.4,"4,163 ms",100%
https://rapidapi.com/pritiyadav888/api/random-gradient-resume-template-generator/, 6 months ago , priti yadav ,Random Gradient Resume Template Generator,"The Random Gradient Resume Template Generator API creates unique resume templates with randomly generated personal, skill, and experience data. The API generates resumes that include a name, job title, website, skills, summary, and work experiences, all of which are based on realistic information. The resumes are generated using the Flask web framework and the Faker library for generating fake data. The API also uses the RandomColor library to create visually appealing color schemes for the r...",9.0,992 ms,100%
https://rapidapi.com/hyconsconstruction/api/demo-project46763/, 3 months ago , Construction Hycons ,👋 Demo Project,Hycons Construction là đối tác tin cậy hàng đầu của khách hàng trong lĩnh vực thi công chống thấm và xây dựng nhà trọn gói. Webiste: https://xaydunghycons.com/,8.4,701 ms,100%
https://rapidapi.com/mustacy/api/linkedin-jobs-python-developer/, 6 months ago , mustacy ,Linkedin Jobs: Python Developer,2023 LinkedIn Python Developer jobs with analysis. You can find the latest LinkedIn Python Developer jobs here. Only the positions from these countries are provided for now: - United Kingdom -Switzerland -Netherlands -Norway -Finland -Sweden -Belgium -Denmark -Austria I'm keeping the last 1-2 month's data since older job postings don't accept applications.,,,
https://rapidapi.com/elshadaghazade/api/upwork-jobs-api1/, 9 months ago , Elşad Ağazadə ,Upwork Jobs API,Upwork Jobs API is for Developers & Agencies that want to automate their working flow.,0.0,"13,367 ms",0%
https://rapidapi.com/mserafimovski87/api/jobspider-resumes/, 6 months ago , Miki Serafimovski ,Jobspider Resumes,Get resumes from jobspider by state and job keyword,,,
https://rapidapi.com/hidekazushidara/api/jobs37/, 4 months ago , Hidekazu Shidara ,Jobs,"A list of tech jobs aggregated from different sources, updated montly",,,
https://rapidapi.com/bytebricks-bytebricks-default/api/bytebricks/, a month ago , teBricks Job API ,ByteBricks,German Job Listing API Powered By AI,,,
https://rapidapi.com/strongman20021104/api/1495/, 5 months ago , Strong man ,1,4,,,
