API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/gofitech/api/nlp-translation/,2022-11, gofitech ,NLP Translation,Neural Translate. 110+ Langs. HTML/Text/JSON. Protected words. Multiple target langs in single request.,9.9,"2,292 ms",90%
https://rapidapi.com/petapro/api/linguatools-translate/,2023-04, petapro ,linguatools translate,Looks up a word in a dictionary and returns all translations with bilingual example sentences.,9.5,154 ms,100%
https://rapidapi.com/translated/api/matecat-filters/,2021-11, Translated ,MateCat Filters,"Convert any file to the XLIFF format, and then back to the original format with all the contents translated and perfectly preserved formatting. Already used by MateCat, the popular CAT tool. Test it right now on matecat.com.",9.6,"4,234 ms",99%
https://rapidapi.com/petadata/api/rapid-translate/,2021-11, petadata ,Rapid Translate,Translate texts between 50+ natural languages.,9.7,225 ms,100%
https://rapidapi.com/splintPRO/api/dpl-translator/,2023-09, splintPRO ,DpL Translator,The most precise and finely-tuned machine translation in the world,9.7,"1,905 ms",100%
https://rapidapi.com/undergroundapi-undergroundapi-default/api/google-translate113/,2023-11, undergroundAPI ,Google Translate,"Use Google Translate API, Same quality result but x100 cheaper. Fast and stable translation service",9.9,355 ms,100%
https://rapidapi.com/sohailglt/api/translate-plus/,2023-04, Sohail Ahmed ,Translate Plus,"Dynamically Translate between languages with the Translate Plus API. Our API is much cheaper & faster than Google Translate and other translation providers! Get Started Free! If you are using a very high volume and with our new service, you can translate more efficiently and cost-effectively on https://translateplus.io",9.9,417 ms,100%
https://rapidapi.com/gatzuma/api/deep-translate1/,2023-08, Serge ,Deep Translate,100x cheaper than Google Translate. Same API. Same quality.,9.9,"1,133 ms",100%
https://rapidapi.com/Lingvanex/api/lingvanex-translate/,2021-11, Mikhail Poluyanchyk ,Lingvanex Translate,"Lingvanex works via HTTPS requests. The URL of all requests starts with https://api-b2b.backenster.com/b1/api/v3/. In case of a protocol selection error and using HTTP, the request will be redirected to the address with the HTTPS protocol (status code 302).

Authentication of requests is done by adding the “Authorization” header with the following data format: Bearer The key can be created on the user control panel page https://lingvanex.com/account",9.8,648 ms,100%
https://rapidapi.com/apininjas/api/dictionary-by-api-ninjas/,2023-05, API Ninjas Team ,Dictionary by API-Ninjas,Look up any word in the English dictionary. See more info at https://api-ninjas.com/api/dictionary.,9.8,563 ms,100%
https://rapidapi.com/dickyagustin/api/text-translator2/,2023-10, DEVISTY ,Text Translator,"Translate text to 100+ languages . Fast processing, cost saving. Free up to 100,000 characters per month",9.9,446 ms,100%
https://rapidapi.com/falcondsp/api/opentranslator/,2023-06, falcondsp ,OpenTranslator,It's a free translator that helps you translate any text to any language,9.7,"2,369 ms",100%
https://rapidapi.com/aibitranslator-aibitranslator-default/api/aibit-translator/,2023-11, Aibitranslator ,AIbit translator,"Translate API, Translation Service. ✓ Text, JSON, HTML ✓ Pay per requests, Affordable Price ✓ High-Quality Results, Blazing Speed, Reliability, Availability ✓ 110+ Languages Supported.",9.9,573 ms,100%
https://rapidapi.com/lebedev.str/api/just-translated/,2023-08, Lebedev ,Just Translated,Neural algorithm. 0.45$ per 1 million characters. 90+ languages. A hybrid model of translation. For private plan telegram DM: @evonova,9.8,297 ms,100%
https://rapidapi.com/ai-translate-ai-translate-default/api/ai-translate1/,2023-10, AI-translate ,AI-translate,Unlimited automatic translation service. More than 99 languages available,9.5,"2,025 ms",99%
https://rapidapi.com/haizibinbin-owyntKc0a48/api/ai-translate/,2023-10, binbin he ,AI Translate,"API to translate batches of articles and Html into any language in the world with one request, Same quality as Google Translate",9.9,672 ms,100%
https://rapidapi.com/alsheikhaminulislam/api/anime-voice-waifu-ai-api/,2023-03, alsheikhaminulislam ,Anime Voice Waifu Ai Api,"With this app, you can easily convert Japanese text to voice",9.5,"77,488 ms",93%
https://rapidapi.com/cheap-translate-cheap-translate-default/api/cheap-translate/,2023-11, Cheap Translate ,Cheap Translate,"translate via google translate, bing translate",9.6,"1,484 ms",100%
https://rapidapi.com/sorinmarica4/api/translation-api4/,2023-09, Sorin Marica ,Translation API,Experience Fluent Global Communication: Effortlessly Translate Text Between Diverse Languages Using Our User-Friendly and Dependable API!,9.5,"2,109 ms",100%
https://rapidapi.com/fesnt/api/link-bilingual-dictionary/,2021-11, Felipe Santos ,LINK Bilingual Dictionary,LINK Bilingual Dictionary is a REST API offering bilingual dictionary translate on 20+ languages.,9.7,"1,474 ms",100%
