API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/Top-Rated/api/e-mail-check-invalid-or-disposable-domain/,2023-01, Top-Rated ,E-mail Check Invalid or Disposable Domain,"Easily check if a certain e-mail address is valid. Is it a valid domain? Is the e-mail a temporary/disposable e-mail? That's a common indicator of spamming/trolling, so now there's an API for you so you can easily block it!",9.9,395 ms,100%
https://rapidapi.com/thecity2538/api/taobao-tmall-16881/,2023-11, API TAOBAO ,Taobao Tmall 1688,"Taobao Tmall 1688 item detail. get item detail form id, full url, share text eg m.tb.cn, qr.1688.com",9.8,"2,769 ms",99%
https://rapidapi.com/kangazib/api/tokopediaapi/,2023-06, kangazib ,TokopediaApi,Search & Product Details Api,9.6,816 ms,100%
https://rapidapi.com/idfy-idfy-default/api/rc-verification/,2023-07, IDfy ,RC Verification,This API is used to verify Vehicle Registration Certificate (RC) number against Vahan vehicle database.,9.6,126 ms,100%
https://rapidapi.com/perodriguezl/api/u-s-a-sales-taxes-per-zip-code/,2023-01, Pedro Rodriguez ,U.S.A Sales Taxes per Zip Code,United states of America sales taxes rates per zip/postal codes,9.6,194 ms,100%
https://rapidapi.com/idfy-idfy-default/api/face-compare1/,2023-01, IDfy ,Face Compare,This API compares and finds similarity between 2 face images. This is used to authenticate a person and detect an impersonation scenario.,9.5,124 ms,100%
https://rapidapi.com/apiguruc-apiguruc-default/api/taobao-scaper/,2023-07, APIGuruC ,Taobao Scaper,Reliable access to Taobao data,9.5,"2,273 ms",100%
https://rapidapi.com/idfy-idfy-default/api/gst-verification/,2023-01, IDfy ,GST Verification,Used to verify GST certificates of merchants and vendors.,9.5,"1,608 ms",100%
https://rapidapi.com/kaushiksheel9/api/shoes-collections/,2023-03, Kaushik ,Shoes collections,This api provides you 30 random shoes ..,9.7,"24,158 ms",94%
https://rapidapi.com/freegeoipapp/api/free-geo-ip/,2023-01, FreeGeoIP.app ,Free Geo IP,FreeGeoIP.app - Get Free Geo IP Information,9.7,60 ms,100%
https://rapidapi.com/iddogino1/api/my-store2/,2023-01, Iddo Gino ,My Store,My Store API,9.8,581 ms,100%
https://rapidapi.com/ruamazi/api/ebay-search-result/,2023-10, ruamazi ,Ebay Search Result,"API Returns necessary information from Ebay search page results, such as the price, title, shipping cost and direct url to the product",9.5,"13,794 ms",94%
https://rapidapi.com/JesutoniAderibigbe/api/cartify/,2023-04, JesutoniAderibigbe ,Cartify,"Welcome to our e-commerce API! Our API is designed to make it easy for you to build and manage your online store and also build projects you can show on your porfolio. With our API, you can create products, manage orders, track shipments, and more. Our API is built on modern technologies and is easy to integrate with your existing systems. Our API provides a secure and reliable platform for your e-commerce needs. You can trust us to keep your data safe and secure. We also provide a range of ...",9.5,"1,260 ms",97%
https://rapidapi.com/chrislim/api/fraud-prevention-web-service/,2023-01, Chris Lim ,Fraud Prevention Web Service,"This API help you to screen an order to detect the degree of credit card fraud, and therefore protect your business order from losses due to chargebacks. The accuracy depends on the number of parameters and previous feedback. The more details & feedback supplied, the higher number of accuracy in return. Please visit http://www.fraudlabspro.com/developer/api for the API details.",8.5,26 ms,100%
https://rapidapi.com/idfy-idfy-default/api/aadhaar-masking/,2023-01, IDfy ,Aadhaar Masking,This endpoint allows you to mask the first 8 digits of Aadhaar number on an Aadhaar card image. It returns the image with masked Aadhaar number in real-time.,8.7,964 ms,100%
https://rapidapi.com/kangazib/api/shopeeapi2/,2023-07, kangazib ,ShopeeApi,Shopee product search api & product details api,9.4,363 ms,92%
https://rapidapi.com/leolmf1/api/price-guide-mx/,2023-09, Lorenzo Martinez ,Price Guide MX,"Discover the best deals in Mexico with Price Guide MX! Our innovative API retrieves and compares product prices from major retail chains, helping you save money on your purchases. Try Price Guide MX today and shop smarter!",8.5,588 ms,40%
https://rapidapi.com/Agungkes/api/tokopedia4/,2023-10, agungkes ,Tokopedia,"Introducing our API service for Tokopedia.com on RapidAPI! Our API allows you to easily retrieve data from Tokopedia's vast product catalog and access information about sellers on the platform. With just a few lines of code, you can fetch details about products, including title, price, description, and images, as well as information about sellers, such as their username, rating, and location. Seamlessly integrate this data into your own applications, websites, or tools to enhance your e-comme...",8.6,805 ms,90%
https://rapidapi.com/jaysbum/api/taobao-image-search2/,2023-09, Chatujak Chaiyong ,Taobao Image Search,search Taobao Tmall 1688 from image search feature,8.8,"7,183 ms",57%
https://rapidapi.com/kimchun/api/taobao-tmall-realtime-scraper/,2023-10, kimchun ,taobao tmall realtime scraper,"update 09/22/2023 welcome free plan service. we provide item detail by item_id and promotion price, description, image on realtime scraping",9.2,255 ms,100%
https://rapidapi.com/cohenfamily887-7qab_JqueVC/api/retail-store-product-information/,2023-01, cohen family ,Retail Store Product Information,Provide real-time product information from multiple retailers,9.1,"2,386 ms",100%
https://rapidapi.com/felixeschmittfes/api/ebay32/,2023-04, Felix Schmitt ,Ebay,Get Products from Ebay (Unofficial),9.4,"2,702 ms",100%
https://rapidapi.com/tombatron/api/bin-packer/,2023-01, tombatron ,Bin Packer,Use this API to specify containers and items to pack within those containers. Intended to be a quick and easy bin packing API.,8.5,"1,241 ms",100%
https://rapidapi.com/georgekhananaev/api/aliexpress-true-api/,2023-05, georgekhananaev ,Aliexpress True API,"Fetching data from AliExpress instantly using an powerful oracle server. If there will be high demand, I will set up multiple servers in different regions with a load balancer to ensure fast and reliable service. Rest assured, the service will be fast and reliable with no down times.",9.1,"67,601 ms",43%
https://rapidapi.com/ashutosh05/api/gst-details-api-documentation/,2023-03, CodeWithAshu ,GST Details API Documentation,get data from GST and also get owner details,9.3,"2,953 ms",100%
https://rapidapi.com/DaddyApi/api/check-credit-card/,2023-02, DaddyApi ,Check Credit Card,"Introducing DaddyAPI's Credit Card Validation API - a fast and efficient solution for verifying the validity of credit card numbers. This API utilizes advanced algorithms and real-time updates to validate credit card numbers, ensuring that they are genuine and belong to a real issuer. The API is designed to be easy to integrate into your existing system, providing instant results with a simple API call. Whether you're an e-commerce platform, a payment gateway, or any other business that needs...",9.2,209 ms,100%
https://rapidapi.com/nguoithomo2030-rllPRPCwI0v/api/etsy-product/,2023-01, Thùy Linh Nguyễn ,Etsy Product,"Etsy product API, Cached and Realtime data",9.2,411 ms,100%
https://rapidapi.com/jaysbum/api/taobao-product-api/,2023-09, Chatujak Chaiyong ,Taobao Product API,product item and search for taobao.com tmall.com 1688.com alibaba.com,9.2,"2,378 ms",92%
https://rapidapi.com/peekdomainapi/api/check-disposable-email/,2023-06, Ahmet Sen ,Check Disposable Email,"Easily check if a certain e-mail address is valid. Is it a valid domain? Is the e-mail a temporary/disposable e-mail? That’s a common indicator of spamming/trolling, so now there’s an API for you so you can easily block it!",8.8,"2,476 ms",92%
https://rapidapi.com/Chyper00/api/ia-img-code/,2023-09, Diego ,ia-img-code,"This API allows developers to generate, scan, and parse barcodes. The /generate endpoint allows users to create barcodes in a variety of formats including Code 128, EAN-13, and QR Code. Users can also specify custom options such as scale, height, and file format. The /scan and /parseBase64 endpoints allow users to scan and parse barcodes from images. This API is built with Node.js and TypeScript, and is designed to be easy to use and integrate with existing applications. It's perfect for deve...",8.6,269 ms,100%
https://rapidapi.com/idfy-idfy-default/api/verification-solutions/,2023-01, IDfy ,Verification Solutions,IDfy’s Verification Solutions allow you to perform real-time verification of users and merchants directly from the originating government databases.,9.4,116 ms,100%
https://rapidapi.com/gustavogow1992/api/domicilio-computel/,2023-01, gustavogow1992 ,DOMICILIO COMPUTEL,CONSULTA DE CODIGOS POSTALES MEXICO,8.6,265 ms,100%
https://rapidapi.com/idfy-idfy-default/api/fssai-license-verification/,2023-01, IDfy ,FSSAI License Verification,Used to check if the vendor has a valid fssai certificate to produce and sell food and beverages.,8.8,338 ms,100%
https://rapidapi.com/idfy-idfy-default/api/india-pan-card-ocr/,2023-01, IDfy ,India - Pan card OCR,This API allows you to extract text from an image of a PAN card.,9.4,"3,307 ms",100%
https://rapidapi.com/localpearuk/api/uk-supermarkets-product-pricing/,2023-03, Pear Data ,UK Supermarkets Product Pricing,"Get real time pricing for all groceries, food, drinks and products from all UK supermarkets and online stores.",9.3,55 ms,100%
