API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Hotels,https://rapidapi.com/apidojo/api/hotels4/,hotels4.p.rapidapi.com,GET:v2/get-meta-data,Get locale meta data,,[{}],[{}]
Hotels,https://rapidapi.com/apidojo/api/hotels4/,hotels4.p.rapidapi.com,GET:locations/v3/search,Search for related locations and suggestions,,[{}],"[{'参数名': ['locale', 'langid', 'siteid'], '参数类型': ['STRING', 'NUMBER', 'NUMBER'], '参数注意事项': ['The language code', 'The value of languageIdentifier field returned in …/v2/get-meta-data endpoint', 'The value of siteId field returned in …/v2/get-meta-data endpoint']}]"
Hotels,https://rapidapi.com/apidojo/api/hotels4/,hotels4.p.rapidapi.com,GET:locations/v2/search (Deprecated),Search for related locations and suggestions,,[{}],"[{'参数名': ['locale', 'currency'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The language code', 'The currency code']}]"
Hotels,https://rapidapi.com/apidojo/api/hotels4/,hotels4.p.rapidapi.com,GET:get-meta-data (Deprecated),Get locale meta data,,[{}],[{}]
Hotels,https://rapidapi.com/apidojo/api/hotels4/,hotels4.p.rapidapi.com,GET:locations/search (Deprecated),Search for related locations and suggestions,,[{}],"[{'参数名': ['locale'], '参数类型': ['STRING'], '参数注意事项': ['The language code']}]"
Booking,https://rapidapi.com/apidojo/api/booking/,apidojo-booking-v1.p.rapidapi.com,GET:currency/get-exchange-rates,Get currency exchange rates between different countries,,[{}],"[{'参数名': ['languagecode'], '参数类型': ['STRING'], '参数注意事项': ['The language code of specific country']}]"
Booking,https://rapidapi.com/apidojo/api/booking/,apidojo-booking-v1.p.rapidapi.com,GET:locations/auto-complete,"List suggested locations by countries, cities, districts, places name",,[{}],"[{'参数名': ['languagecode'], '参数类型': ['STRING'], '参数注意事项': ['One of the followings en|en-us|ar|bg|ca|cs|da|de|el|es|es-ar|et|fi|fr|he|hr|hu|id|is|it|ja"", ""ko|lt|lv|ms|nl|no|pl|pt|pt-br|ro|ru|sk|sl|sr|sv|th|tl|tr|uk|vi|zh|zh-tw']}]"
Airbnb Search,https://rapidapi.com/ntd119/api/airbnb-search/,airbnb-search.p.rapidapi.com,GET:Get Languages,Get languages,,[{}],[{}]
Airbnb Search,https://rapidapi.com/ntd119/api/airbnb-search/,airbnb-search.p.rapidapi.com,GET:Get Currency,Get Currency,,[{}],"[{'参数名': ['language_code'], '参数类型': ['STRING'], '参数注意事项': ['id from Get Languages endpoint\nDefault: en-US']}]"
Airbnb Search,https://rapidapi.com/ntd119/api/airbnb-search/,airbnb-search.p.rapidapi.com,GET:Get Category,Get Category,,[{}],"[{'参数名': ['query', 'language_code'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Input destination', 'id from Get Languages endpoint\nDefault: en-US']}]"
AI Trip Planner,https://rapidapi.com/nabeeldev1340/api/ai-trip-planner/,ai-trip-planner.p.rapidapi.com,GET:Get Trip Plan,This endpoint is used to generate trip plan based on no. of days and destination.,,"[{'参数名': ['days', 'destination'], '参数类型': ['NUMBER', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Nomad List Cities,https://rapidapi.com/emir12/api/nomad-list-cities/,nomad-list-cities.p.rapidapi.com,GET:Latin America,Get Latin America cities sorted by overall score by default.,,[{}],"[{'参数名': ['size', 'page', 'sort', 'sort_by'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '']}]"
