API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/Veriphone/api/veriphone/, 2 years ago , Admin ,Veriphone,"Global phone number verification in a free, fast, reliable JSON API",9.8,438 ms,100%
https://rapidapi.com/maytapi/api/maytapi-whatsapp/, 2 years ago , Maytapi ,Maytapi WhatsApp,Send and receive messages from WhatsApp via Maytapi. It is a stable and reliable solution. See more: https://maytapi.com/,9.7,"3,759 ms",97%
https://rapidapi.com/mr_admin/api/email-verifier/, a year ago , mr_admin ,Email Verifier,Validate email addresses in real-time. Make sure a mailbox really exist.,9.8,894 ms,100%
https://rapidapi.com/api-endpoints/api/nbnco-address-check/, 3 days ago , Make Data Useful PTY LTD ,NBNco Address Check,A simple address search API that returns key information about the NBNco™ access network availability.,9.7,"3,503 ms",99%
https://rapidapi.com/teltech-systems-inc-teltech-systems-inc-default/api/robokiller-call-confidence/, 5 months ago , Robokiller Enterprise ,RoboKiller Call Confidence,Get the newest reputation of phone numbers from the database of leading consumer anti-spam call app Robokiller and eliminate your phone scams.,9.6,233 ms,100%
https://rapidapi.com/DataCrawler/api/truecaller4/, 2 days ago , DataCrawler ,Truecaller,,9.7,"1,544 ms",100%
https://rapidapi.com/apininjas/api/validate-phone-by-api-ninjas/, 6 months ago , API Ninjas Team ,Validate Phone by API-Ninjas,Check whether a phone number is valid and get its metadata. See more info at https://api-ninjas.com/api/validatephone.,9.5,"1,235 ms",100%
https://rapidapi.com/inutil-inutil-default/api/whin2/, 9 days ago , inUtil Labs ,whin,"Send and receive any message type to your WhatsApp, or to whatsapp groups with a shared gateway.",9.9,427 ms,99%
https://rapidapi.com/apininjas/api/qr-code-by-api-ninjas/, 6 months ago , API Ninjas Team ,QR Code by API-Ninjas,Generate custom QR codes for any data. See more info at https://api-ninjas.com/api/qrcode.,9.8,453 ms,100%
https://rapidapi.com/icehook-systems-icehook-systems-default/api/scout/, 7 months ago , IceHook Systems ,Scout,"Telephone Number Insight including Validity, Robocall/SPAM, Reputation, LNP, Carrier, Timezone, and Geographic Information",9.9,"3,870 ms",75%
https://rapidapi.com/quickemailverification/api/quick-email-verification/, 2 years ago , quickemailverification ,Quick Email Verification,Improve your mail deliverability rates and protect your IP reputation by using our Free Email Verification Service. Need further help? You can contact us at https://quickemailverification.com/contact-us,9.5,809 ms,100%
https://rapidapi.com/clicksend/api/clicksend-sms/, 2 years ago , Matt ,ClickSend SMS,Sign up for a free account at https://clicksend.com ClickSend is not a free service. Pricing can be found here https://clicksend.com/?r=pricing/,9.6,"1,073 ms",100%
https://rapidapi.com/inteltech/api/inteltech-sms/, 2 years ago , Matt ,Inteltech SMS,Intelligent Technologies SMS API. Allows sending and receiving of SMS messages. An account is required. Sign up for free at http://inteltech.com.au Send messages to any country in the world.,9.7,879 ms,100%
https://rapidapi.com/messagebird/api/sms-gateway/, 2 years ago , messagebird ,SMS Gateway,MessageBird provides a simple and fast API for sending and receiving text messages (SMS) all over the world. Other related services are HLR-Lookup (network query) and sending and receiving Premium SMS messages.,9.5,171 ms,100%
https://rapidapi.com/nemohadaana/api/free-phone-carrier-lookup/, 7 months ago , ta9ra9pa9 ,Free Phone Carrier Lookup,"FREEEEE !!! , Phone carrier lookups are a great way to obtain more information about leads and user data. If a number is not associated with a phone carrier, then it's likely that phone number is not currently active. The phone number carrier provides useful information about location, user type (personal or business number), line type, and much more. Some carriers are frequently associated with fraudulent behavior,",9.8,"1,518 ms",99%
https://rapidapi.com/ArdicAITeam/api/ardic-speech-to-text-service/, 10 months ago , ArdicAITeam ,Ardic Speech to Text Service,Transcription API for converting audio files to text. Includes confidence scores and timestamps for given words.,9.7,"5,906 ms",97%
https://rapidapi.com/r4chestnut/api/textbelt-sms/, 2 years ago , Arthur Chestnut ,Textbelt SMS,Send SMS text messages,8.9,523 ms,100%
https://rapidapi.com/sagenda/api/sagenda-free-booking-system/, 2 years ago , sagenda ,Sagenda Free Booking System,"Sagenda is a booking, reservation, scheduling or appointment online software that increases the productivity of your business free of cost.",8.5,300 ms,100%
https://rapidapi.com/yusufnb/api/quotes/, 2 years ago , yusufnb ,Quotes,"This is a simple API for use with bot integration or to create wordpress or other CMS plugins to show relevant quotes and quotations to display to the user. Coming soon will be an ability to curate quotes and even add your own, that will be available via the same API.",8.7,279 ms,88%
https://rapidapi.com/kidddevs/api/checky-verify-phone-number/, 3 days ago , Dakidarts ,Checky - Verify Phone Number,Determine in realtime if a given phone number is valid and the type of phone line it is connected to. Works for all countries!,9.1,68 ms,100%
https://rapidapi.com/dananos/api/1-cent-sms/, 9 months ago , InfiniteLoop.ie ,1 Cent SMS,Send SMS for 1 US Cent to USA or Canada via this API,8.9,"2,001 ms",100%
https://rapidapi.com/nextgenict-nextgenict-default/api/phone-and-email-validator/, 2 years ago , NextGenICT ,Phone and Email Validator,"Extremely Useful tool for Phone, Email, IP Address and Postal Code Validation",9.3,"4,203 ms",98%
https://rapidapi.com/teracrawl-teracrawl-default/api/free-phone-number-lookup-and-validation-api1/, a year ago , Teracrawl ,Free Phone Number Lookup and Validation API,"Free Lookup and Validation API Phone Numbers and receive additional information like Geo Location, Timezone and Currency. No Signup required.",8.8,"1,227 ms",100%
https://rapidapi.com/lj.carpen/api/phone-and-email-validator1/, 2 years ago , Carlau ,Phone and Email validator,Check the validity of any phone number and email address,,,
https://rapidapi.com/kiara-inc-kiara-inc-default/api/kiara-translate-v2/, 2 years ago , Kiara Inc ,Kiara Translate v2,Kiara Translation v.2 is a high quality translation API. This same up powers our trusted partners. Try out more features in the demo https://api.kiara-demo.app/,8.5,809 ms,100%
https://rapidapi.com/williamchew85/api/caller-id4/, 5 months ago , William Chew ,caller-id,"Retrieve personal data (including Name, Gender, Job, Company Name, Email, Telco carrier name, etc) with mobile number",9.3,"3,970 ms",59%
https://rapidapi.com/AirBorne04/api/retrieve-dns-entries/, a year ago , AirBorne04 ,Retrieve DNS Entries,The API enables you to make fast DNS and WHOIS lookups.,9.0,229 ms,97%
https://rapidapi.com/it-fintech-md-it-fintech-md-default/api/disposable-regdata-verification/, 8 months ago , IT Fintech MD ,Disposable RegData Verification,"Out API will offer you possibility to check Phone or Email if is Valid or Disposable, as well you can check IP if is a VPN or Proxy during your KYC procedures or lead registration.",9.1,337 ms,100%
https://rapidapi.com/kiara-inc-kiara-inc-default/api/kiara-spam-detector-v1/, 2 years ago , Kiara Inc ,Kiara Spam Detector v1,Kiara Spam Detector classifies a given text and predicts if the text is spam or not.,8.9,407 ms,100%
https://rapidapi.com/lespagnolrobin/api/automatic-custom-response-creator/, 2 years ago , Robin Lespagnol ,Automatic-custom-response-creator,"send a customer review, you will receive a personalized response proposal automatically",9.1,"6,214 ms",100%
https://rapidapi.com/prabunesia-prabunesia-default/api/whatsapp-private-api/, 6 months ago , Prabunesia ,Whatsapp Private API,"WhatsApp Private API is an unofficial API that allows developers to access WhatsApp's messaging platform outside of the official WhatsApp application. This API is not supported or endorsed by WhatsApp and its use violates WhatsApp's terms of service. The WhatsApp Private API provides developers with a way to interact with WhatsApp's messaging platform, allowing them to automate tasks, send and receive messages, and manage contacts. However, due to the unofficial nature of the API, there is a...",9.3,542 ms,90%
https://rapidapi.com/root-h1mkMNR1x/api/intobo-whatsapp-api1/, a year ago , oz ,Intobo WhatsApp API,This api is used to send messages to WhatsApp chat platform via API. see details www.intobo.com,9.2,687 ms,100%
https://rapidapi.com/datapipe-datapipe-default/api/nbnco-address-search-api/, 6 months ago , DataPipe ,nbnco Address Search API,A simple address search API that returns key information about the NBNco access network availability.,8.8,"3,722 ms",98%
https://rapidapi.com/nishujain199719-vgIfuFHZxVZ/api/conversation-starter1/, a year ago , Nishu Jain ,Conversation Starter,"Returns random conversation starters from a huge database. Literally, Nothing else.",9.3,455 ms,100%
https://rapidapi.com/mightora-mightora-default/api/email-domain-checker1/, a month ago , mightora.io ,Email Domain Checker,Quickly check to see if the email domain you have is valid for your customer.,9.2,234 ms,100%
https://rapidapi.com/apilayer/api/numverify/, 2 years ago , apilayer ,numverify,"NumVerify offers a free, powerful JSON API for international and national phone number validation & lookup.",8.5,252 ms,100%
https://rapidapi.com/navii/api/std-codes-india/, 2 years ago , ,STD Codes - India,Find an STD Code of any City or State of India OR find the location of any STD Code.,9.1,933 ms,100%
https://rapidapi.com/SMSLink/api/smslink/, 2 years ago , SMSLink ,SMSLink,"With more than 245 million SMS/year, SMSLink is a leading SMS provider in Romania, covering more than 190 countries/territories.",9.0,"1,242 ms",100%
https://rapidapi.com/clickatell/api/clickatell/, 2 years ago , clickatell ,Clickatell,Use Clickatell's global SMS Gateway to send bulk SMS to: over 5.2 billion people on 960+ networks in 220+ countries & territories. This product provides an interface between your existing systems and Clickatell's Messaging Gateway.,8.5,388 ms,100%
https://rapidapi.com/cakemail/api/cakemail/, 2 years ago , cakemail ,CakeMail,"CakeMail is an email marketing application that simplifies the way small businesses engage with customers, allowing them to manage contacts, create personalized email campaigns from templates and simply... send. It’s an affordable, easy-to-use solution, created to help small businesses begin, or pursue, their email marketing efforts - regardless of the marketing resources, design background or technical expertise they have.",8.7,17 ms,100%
https://rapidapi.com/messente/api/messente/, 2 years ago , messente ,Messente,Messente group messaging platform provides an HTTP-based PushSMS interface additionally to the web-based message sending tools. In order to use the HTTP-based interface please activate your API account on the Messente web page.,8.8,138 ms,99%
https://rapidapi.com/le-bahut-le-bahut-default/api/whatsapp-sms-voice/, 3 months ago , Le Bahut ,"WhatsApp, SMS & Voice","The comprehensive range of APIs available within this project empowers you to deliver notifications to individuals in your customer database through diverse channels. These notifications can be sent in various formats, including text messages via WhatsApp and SMS, as well as through voice-based communication methods. This flexibility ensures that you can effectively reach your customers through their preferred communication channels, enhancing the overall engagement and user experience.",9.3,"24,184 ms",82%
https://rapidapi.com/nanothread-nanothread-default/api/clan-meeting-video/, a year ago , NanoThread ,Clan Meeting Video,"Super easy to integrate and extremely affordable - pay as you go HD video conferencing web and mobile API - with integration support, custom logo and branding, HD video recording to your own cloud, live streaming, host controls, customization, auto-scaling, and much more.",8.8,723 ms,100%
https://rapidapi.com/platfarm-platfarm-default/api/mojitok-sticker-store-sdk/, 2 years ago , Platfarm ,Mojitok Sticker Store SDK,"Mojitok Sticker Store API/SDK is a curated store of licensed animated stickers, emojis, and GIFs.",8.8,7 ms,100%
https://rapidapi.com/Barbaraaa/api/barbaraaa/, a year ago , Barbaraaa ,Barbaraaa,Hi,9.0,"1,063 ms",100%
https://rapidapi.com/maatheusb96/api/english-talking2/, 2 years ago , Matheus Barbosa ,English Talking,This API aims to provide users with the possibility of conducting dialogues in English where the conversations and answers are registered and evaluated by the users themselves. 👽,9.2,8 ms,100%
https://rapidapi.com/cas8398/api/grup-terbuka/, 2 years ago , Cahyanudien aziz “Wayang” Saputra ,Grup Terbuka,open api group chat,9.1,545 ms,100%
https://rapidapi.com/weatherapi.me/api/weather_dataset/, 2 years ago , weather ,Weather_dataSet,Weather_data Set on Django Project,9.2,7 ms,100%
https://rapidapi.com/ppaksoo12/api/test17076/, 2 months ago , 박수환 ,test,test,8.5,"6,317 ms",100%
https://rapidapi.com/dhyeythumar/api/web-push-notifications-server/, 2 years ago , Dhyey Thumar ,Web Push Notifications Server,Simple server which provides Web Push Notifications service to frontend applications.,9.3,762 ms,100%
https://rapidapi.com/uvietoboretreasure-I7Y-IpTLkG/api/trenalyze-whatsapp/, a year ago , Treasure Uvietobore ,Trenalyze WhatsApp,"You can send OTP's, Marketing messages, e.t.c via WhatsApp using your own custom WhatsApp number which your customers know. This would increase trust being the message is from a familiar sender.",9.2,427 ms,100%
https://rapidapi.com/dirk94/api/screenshotapi-net/, 2 years ago , Dirk Hoekstra ,ScreenshotAPI.net,Generate beautiful screenshots with our website screenshot API,8.8,207 ms,100%
https://rapidapi.com/p2ild-p2ild-default/api/getbs/, 2 years ago , p2ild ,getBs,DuLieuBs63Tinh,,,
https://rapidapi.com/Hightechteam/api/trumpetbox-cloud/, 2 years ago , Eric Pettway ,TrumpetBox Cloud,"Thousands of businesses rely on TrumpetBox Cloud to communicate with their audience via text message. With our API, developers can access many of our platform’s features and integrate them with other websites or applications.",8.9,969 ms,78%
