API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/Implisense/api/german-company-data/,2023-09, Implisense ,German Company Data,Enrich your CRM / MAS / ERP system with credible data about all incorporated companies from Germany.,9.8,102 ms,100%
https://rapidapi.com/realtymole/api/realty-mole-property-api/,2023-10, Realty Mole ,Realty Mole Property,"Get instant access to 140+ million property records, owner details, home value and rent estimates, active listings and rental market statistics with the Realty Mole real estate data API. Available nationwide in the US.",9.9,661 ms,100%
https://rapidapi.com/moneals/api/rent-estimate/,2023-10, Realty Mole ,Rent Estimate,Get instant access to 140+ million real-time property rent estimates and comparable rental listings with the Realty Mole rental data API. Available nationwide in the US.,9.8,384 ms,100%
https://rapidapi.com/IPQualityScore/api/ipq-proxy-detection-and-email-verification/,2023-05, IPQualityScore ,IPQ Proxy Detection and Email Verification,"IPQS Proxy Detection can detect low quality IP connections that indicate fraudulent activity such as proxies, VPNs, & Tor connections. Reduce fraud and potential chargebacks by detecting high risk IP addresses. This service is excellent for affiliate networks and advertisers that want to avoid fraudulent traffic, merchants that want to avoid chargebacks, forums that want to block spammers, and other services looking to eliminate fraudulent signups and purchases. Get 5,000 FREE monthly queries...",9.5,993 ms,100%
https://rapidapi.com/api4yaware/api/yaware-timetracker/,2023-09, api4yaware ,Yaware.TimeTracker,"Yaware.TimeTracker is an automatic time tracking app that helps you and your team manage their time, be productive and achieve more. Yaware.TimeTracker allows you to track time spent on projects, websites/software usage, manage resources, evaluate productivity and increase performance. All this without the need to start and stop a timer. The software allows to track software and Internet use, control overtime and flexitime, evaluate and reward achievements, take screenshots and snapshots. A...",9.6,431 ms,100%
https://rapidapi.com/domainr/api/domainr/,2023-06, Domainr ,Domainr,Instant domain search. Documentation available at https://domainr.com/docs/api,9.9,126 ms,100%
https://rapidapi.com/translated/api/mymemory-translation-memory/,2022-11, Translated ,MyMemory - Translation Memory,Get a better translation! MyMemory is the world's largest Translation Memory that contains billions of words translated by professional translators. MyMemory will give you ModernMT machine translation if a human translation is not available.,9.9,413 ms,100%
https://rapidapi.com/futureapi-futureapi-default/api/validate-vat-number/,2023-08, FutureAPI ,Validate VAT Number,"Reliable and fast. API works with all EU countries, United Kingdom (GB) and Norway (NO). Returns: VAT is valid or not. And if VAT is valid - company name, address.",9.7,966 ms,100%
https://rapidapi.com/apidojo/api/idealista2/,2021-11, Api Dojo ,Idealista,"Query for rent and sale properties in Spain, Italy, Portugal",9.8,"2,046 ms",100%
https://rapidapi.com/apidojo/api/zoopla/,2021-11, Api Dojo ,Zoopla,"This API helps to query for properties for rent, sale in UK to create a real estate site/application such as zoopla.com",9.8,"2,680 ms",100%
