API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/edamam/api/edamam-food-and-grocery-database/,2023-10, Edamam ,Edamam Food and Grocery Database,"This API provides you with tools to find nutrition and diet data for generic foods, packaged foods and restaurant meals. In addition it employs NLP (Natural Language Processing) which allows for extraction of food entities from unstructured text. Covered Use Cases: -Search for a food by keyword, food name or UPC/Barcode -Sourcing of nutrition facts for a given food, including: macro and micro nutrients, allergen labels, lifestyle and health labels -Search for a food by give...",9.8,847 ms,100%
https://rapidapi.com/thecocktaildb/api/the-cocktail-db/,2021-11, thecocktaildb ,The Cocktail DB,API to get data on alcohol & cocktails.,9.8,269 ms,100%
https://rapidapi.com/apidojo/api/yummly2/,2021-11, Api Dojo ,Yummly,"API to query data about recipe, plan, ingredients, etc... as on official site",9.8,"2,412 ms",100%
https://rapidapi.com/apidojo/api/tasty/,2021-11, Api Dojo ,Tasty,"API to query data about recipe, plan, ingredients, etc... as on official site",9.9,"1,983 ms",100%
https://rapidapi.com/spoonacular/api/recipe-food-nutrition/,2022-11, David ,Recipe - Food - Nutrition,"The spoonacular Nutrition, Recipe, and Food API allows you to access over 365,000 recipes and 86,000 food products. Our food ontology and semantic recipe search engine makes it possible to search for recipes using natural language queries, such as ""gluten free brownies without sugar"" or ""low fat vegan cupcakes."" You can automatically calculate the nutritional information for any recipe, analyze recipe costs, visualize ingredient lists, find recipes for what's in your fridge, find recipes based on special diets, nutritional requirements, or favorite ingredients, classify recipes into types and cuisines, convert ingredient amounts, or even compute an entire meal plan. With our powerful API, you can create many kinds of food and especially nutrition apps. Special diets/dietary requirements currently available include: vegan, vegetarian, pescetarian, gluten free, grain free, dairy free, high protein, low sodium, low carb, Paleo, Primal, ketogenic, FODMAP, and Whole 30. We will soon be adding Weight Watcher points, too.",9.9,395 ms,100%
https://rapidapi.com/edamam/api/recipe-search-and-diet/,2023-10, Edamam ,Recipe Search and Diet,"Since we understand the recipe – ingredients, diets, allergies, nutrition, taste, techniques & more. We can connect your users with the best recipes available for their unique food preferences. Search over 2 million recipes - Search our large recipe database. We add new sites and recipes continuously. - You will also get access to over 5000 top web recipe sources - Our search algorithm returns the most relevant recipes from the most popular and best recipes sources on the web. We order re...",9.8,668 ms,100%
https://rapidapi.com/apininjas/api/nutrition-by-api-ninjas/,2023-05, API Ninjas Team ,Nutrition by API-Ninjas,Natural language API to extract nutrition data from any text. See more info at https://api-ninjas.com/api/nutrition.,9.8,497 ms,98%
https://rapidapi.com/kaushiksheel9/api/burgers-hub/,2023-10, Kaushik ,Burgers Hub,"This api returns kinds of burgers with there name, image, price, ingeridients etc",9.7,"1,455 ms",100%
https://rapidapi.com/rapihub-rapihub-default/api/the-mexican-food-db/,2023-11, RapiHub ,The Mexican Food DB,Mexican Food Recipes with high-quality images stored on AWS S3 for fast accessibility. Easy to use! Category: Food,9.7,434 ms,100%
https://rapidapi.com/dfskGT/api/low-carb-recipes/,2023-03, dfskGT ,Low Carb Recipes,Highly flexible search over thousands of low-carb/keto recipes with rich nutrients information.,9.7,788 ms,100%
