API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/apininjas/api/holidays-by-api-ninjas/,2023-05, API Ninjas Team ,Holidays by API-Ninjas,"Get past, present and future holiday data for any country. See more info at https://api-ninjas.com/api/holidays.",9.8,860 ms,96%
https://rapidapi.com/joursouvres-api/api/working-days/,2023-11, JoursOuvres ,Working days,"The API returns the number of days, hours, working days, working hours, wages, weekend days, and the list of public holidays of the requested date period and country. You can also add any number of working days or working hours to a given date. 50 countries and over 230 regional calendars are supported and we work hard to keep our database up to date by following government announcements regarding public holidays changes. All the calendars can be fully customized from our friendly working da...",9.9,112 ms,100%
https://rapidapi.com/apininjas/api/historical-events-by-api-ninjas/,2023-05, API Ninjas Team ,Historical Events by API-Ninjas,Search through the most famous events in history. See more info at https://api-ninjas.com/api/historicalevents.,9.6,398 ms,99%
https://rapidapi.com/theapiguy/api/public-holiday/,2021-11, API Guy ,Public Holiday,An API for Public Holidays & Bank Holidays,9.9,110 ms,100%
https://rapidapi.com/jamesfidler22/api/demo-project29842/,2023-05, James Fidler ,👋 Demo Project,Custom packaging no minimum is excellent to build brand awareness. Learn why businesses should include custom box no minimum in branding in this post!,9.5,566 ms,92%
https://rapidapi.com/westy92-llc-westy92-llc-default/api/checkiday/,2023-08, Westy92 LLC ,Checkiday,"Industry-leading Holiday API. Over 5,000 holidays and thousands of descriptions. Trusted by the World's leading companies.",8.5,372 ms,94%
https://rapidapi.com/ionxccd/api/today-in-history/,2023-08, ionxccd ,Today in History,Retrieves data about an important day in history.,9.4,"1,789 ms",100%
https://rapidapi.com/handnf/api/calendars/,2023-04, Nick Felker ,Calendars,Get list of events from a number of venues,9.2,"1,463 ms",92%
https://rapidapi.com/thestevepappa/api/hungarian-nameday-calendar/,2023-08, fantnhu ,Hungarian Nameday Calendar,This calendar will help you to find out which first names are celebrated today. It also gives the origin and meaning of the first name.,9.2,"1,390 ms",100%
https://rapidapi.com/davidsimonmarques/api/feriados-brasileiros1/,2023-06, FlameX ,feriados-brasileiros,API para obter feriados nacionais para uma cidade/estado específica durante um determinado ano.,9.4,"1,186 ms",100%
https://rapidapi.com/hefesto-technologies-hefesto-technologies-default/api/public-holidays7/,2023-08, hefesto technologies ,Public holidays,"We provide a convenient way to obtain up-to-date and accurate data about holidays such as national holidays, religious observances, and cultural celebrations.",9.4,221 ms,90%
https://rapidapi.com/luigimattino/api/art-openings-italy/,2023-09, Luigi Antonio Mattinò ,Art openings Italy,"Introducing the ultimate art event API for Italy - your one-stop destination for discovering and experiencing the best art events happening across the country. With our API, you have access to a comprehensive list of cities where art events take place, as well as a list of ongoing events happening in each city.",9.2,"48,556 ms",78%
https://rapidapi.com/aptitudeapps/api/flag-status/,2023-08," Aptitude Apps, LLC ",Flag Status,US and state flag half-staff events in JSON format.,9.4,118 ms,100%
https://rapidapi.com/emir12/api/crypto-events-calendar/,2023-05, CoinSpot ,📅 Crypto Events Calendar 🚀,"Get crypto events like listing, airdrops, release, tokenomics, partnershiop, other.",9.1,283 ms,100%
https://rapidapi.com/AwesomelyPerfect/api/enoch-calendar/,2023-10, AwesomelyPerfect ,Enoch Calendar,Access the Biblical Holydays and Sabbaths using the Enoch Calendar,9.3,"79,929 ms",35%
https://rapidapi.com/Mmaaxxiimm/api/wonderboyapi/,2022-11, Mmaaxxiimm ,WonderboyAPI,With this information the goal is to make information about racing more widely available,8.8,"22,853 ms",100%
https://rapidapi.com/foxtols-fxtools-foxtols-fxtools-default/api/trading-calendar/,2023-07, Foxtols - Fxtools ,Trading Calendar,Real-time data,8.2,424 ms,100%
https://rapidapi.com/SabinaMilton/api/demo-project41433/,2023-07, SabinaMilton ,👋 Demo Project,Get the Best Event Staff,,,
https://rapidapi.com/tvu-networks-tvu-networks-default/api/remote-commentator/,2023-09, TVU networks ,Remote Commentator,APIs of Remote Commentator,8.3,518 ms,100%
https://rapidapi.com/horvatlpd/api/contests7/,2022-11, horvat-lpd ,contests,Get the list of active contests.,8.3,"1,174 ms",100%
