API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/sendgrid/api/sendgrid/,2021-11, Sendgrid ,SendGrid,"Welcome to SendGrid’s Web API v3! This API is RESTful, fully featured, and easy to integrate with.",9.9,128 ms,100%
https://rapidapi.com/leeann/api/zerobounce1/,2022-11, ZeroBounce ,ZeroBounce,Email Validation Service. Use ZeroBounce's email validation API to increase your email marketing ROI! Remove invalid email addresses from your list using our unique email verification scrubbing system to prevent email bounces.,9.7,520 ms,100%
https://rapidapi.com/BouncerAdmin/api/bouncer-email-verification/,2023-09, Bouncer ,Bouncer Email Verification,Email Verification and Email Validation by Bouncer,9.5,919 ms,100%
https://rapidapi.com/srgl/api/validect-email-verification/,2023-02, srgl ,Validect - Email Verification,Email address validation API,9.7,"1,406 ms",100%
https://rapidapi.com/fama-official-email-finder/api/email-finder10/,2023-10, Fama Official ,Email Finder,Full Name + Company Domain = Valid Email (better than any alternative!),9.7,613 ms,100%
https://rapidapi.com/seriyps/api/dropmail/,2021-11, seriyps ,DropMail,Official GraphQL API for dropmail.me temporary 10 minute email service (temp mail). https://dropmail.me/api/schema.graphql,9.7,100 ms,100%
https://rapidapi.com/principalapis/api/easy-email-validation/,2021-11, Principal APIs ,Easy Email Validation,"Use this API to quickly and effectively validate an email addresses. This API runs the following checks: valid email format, mx Record, and disposable email.",9.6,479 ms,100%
https://rapidapi.com/Smied/api/gettempmail1/,2023-10, Smied ,GetTempMail,Temporary Email,9.8,316 ms,100%
https://rapidapi.com/mrsonj/api/temp-gmail/,2022-11, Sonj ,Temp Gmail,"Basically, a disposable or [temporary gmail](https://smailpro.com) address allows you to sign up for a website, app or online service without entering your personal information, so you're not going to have to deal with constant junk mail. These forms of email addresses are created and personalized for a particular reason and you can delete or discard them until this reason is completed, which does not impact your personal mail inbox, ensuring that you can continue to receive daily emails that...",9.9,938 ms,100%
https://rapidapi.com/lkyzmanov-1rYfRuWv8CS/api/http2smtp/,2022-11, Lachezar Kuzmanov ,http2smtp,"Send emails to smtp server over http, so you can skip all restrictions on your hosting provider,datacenter,network or server.",9.6,"5,608 ms",99%
https://rapidapi.com/calvinloveland335703-0p6BxLYIH8f/api/temp-mail44/,2021-11, Loveland Calvin ,Temp Mail,Create a temp mail,9.8,"1,227 ms",99%
https://rapidapi.com/johndevz/api/gmailnator/,2022-11, John ,Gmailnator,API for Gmailnator Website,9.8,"1,988 ms",97%
https://rapidapi.com/startfu-startfu-default/api/inboxes-com/,2023-09, Startfu ,inboxes.com,inboxes.com temp email accounts for testing and automation,9.7,345 ms,100%
https://rapidapi.com/mrsonj/api/email-checker7/,2022-11, Sonj ,Email Checker,Email Checker,9.6,"1,731 ms",100%
https://rapidapi.com/MASNathan/api/email-validator8/,2023-08, André Filipe ,Email Validator,"The Email Validator API checks if an email address is valid and reliable by verifying its format, domain reachability, and whether it's from a disposable/temporary email service.",9.7,"3,379 ms",99%
https://rapidapi.com/ymgstuffs/api/temp-mail70/,2023-09, YMG Stuffs ,Temp Mail,Temporary Disposable Email Address | Disposable email is a service that allows to receive email at a temporary address that self-destructed after a certain time elapses,9.6,"1,215 ms",100%
