API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/apidojo/api/airvisual1/,2022-11, Api Dojo ,AirVisual,"Query for Air Pollution Data, Weather information, Health Recommendations, etc... as on the official application",9.7,"3,236 ms",100%
https://rapidapi.com/apininjas/api/exercises-by-api-ninjas/,2023-05, API Ninjas Team ,Exercises by API-Ninjas,Get workout exercises for every muscle group. See more info at https://api-ninjas.com/api/exercises.,9.8,753 ms,93%
https://rapidapi.com/mortimerbrian135/api/exerciseapi3/,2023-09, Brian Mortimer ,ExerciseAPI,"Search through a database of over 500 exercises in mulitple search fromats. Search by name, primary muscle, secondary muscle, etc. Get exercise name, force type, primary muscles, secondary muscles, experience level, exercise type, equipment, etc!",9.7,"12,007 ms",91%
https://rapidapi.com/nabeeldev1340/api/workout-planner1/,2023-10, nabeel-dev1340 ,Workout Planner,"Get workout plans based on time duration, target muscle, fitness level, fitness goals, and equipment available.",9.7,"6,310 ms",97%
https://rapidapi.com/principalapis/api/body-mass-index-bmi-calculator/,2021-11, Principal APIs ,Body Mass Index (BMI) Calculator,Use this API to calculate the Body Mass Index of an individual based on their height and weight.,9.7,717 ms,99%
https://rapidapi.com/apininjas/api/calories-burned-by-api-ninjas/,2023-05, API Ninjas Team ,Calories Burned by API-Ninjas,Calories burned calculator for hundreds of different sports/activities. See more info at https://api-ninjas.com/api/caloriesburned.,9.6,515 ms,100%
https://rapidapi.com/justin-WFnsXH_t6/api/exercisedb/,2023-11, Justin Mozley ,ExerciseDB,The ExerciseDB gives you access to over 1300 exercises with individual exercise data and animated demonstrations. Please visit https://v2.exercisedb.io/docs for full API documentation. For purchase options visit https://www.exercisedb.io/ For server status https://status.exercisedb.io,9.9,410 ms,100%
https://rapidapi.com/mertronlp/api/muscle-group-image-generator/,2023-02, -Merten- ,Muscle Group Image Generator,"Generates an anatomical image where the requested muscle groups are highlighted on the body in your color of choice. Ideal for Apps and Websites that are centered around sports, exercises, workouts, health and gym. Give your users some visual feedback on what muscle groups they are training by dynamically generating an image that fits perfectly to the current users workout routine.",9.7,747 ms,100%
https://rapidapi.com/bejjaothmane/api/mega-fitness-calculator1/,2022-11, othmane bejja ,Mega Fitness Calculator,"Use 7 different Fitness Calculators with one API, Find ""Ideal Body Weight"", ""BMI"", ""TDEE"", ""BMR"", ""ABSI"", ""Waist-hip Ratio"" and ""Body Fat Percentage"".",9.6,709 ms,100%
https://rapidapi.com/kasuken/api/horostory/,2023-09, kasuken ,Horostory,"Are you looking for a way to add some astrological flair to your app or website? Do you want to offer your users personalized horoscopes, zodiac compatibility, numerology, tarot readings, and more? If so, you have come to the right place! Horostory is the leading Horoscope API that delivers accurate and engaging zodiac and astrology content. Whether you need daily, weekly, or monthly horoscopes, or detailed astrological calculations and interpretations, Horostory has it all.",9.6,"1,849 ms",100%
