API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/tomwimmenhove/api/netdetective/,2023-05, Tom Wimmenhove ,NetDetective,"NetDetective is an easy-to-use API that provides information about an IP address, including, but not limited to, whether it's known for spam, brute-force attacks, bot-nets, VPN endpoints, data center endpoints, and more. With DetectiveIP, you can quickly and easily gather information about any IP address to help filter requests and avoid potential attacks.",9.5,"1,399 ms",100%
https://rapidapi.com/srivishnuk90/api/spamsafe/,2023-09, Sri Vishnu ,SpamSafe,Protect OTP and Form endpoints with IP safe check,8.5,96 ms,100%
https://rapidapi.com/yottanext-yottanext-default/api/phishyscan-api/,2023-10, YottaNext ,PhishyScan API,"(Beta) Public preview of Anti-phishing scam API, PhishyScan, powered by OpenAI.",9.2,"1,108 ms",74%
https://rapidapi.com/vishwaraj/api/secure-password-generator3/,2023-09, vraj ,Secure password generator,This api will generate secure password given the length and it's values,8.6,402 ms,86%
https://rapidapi.com/cavsn/api/email-social-media-checker/,2023-10, cavsn ,Email Social Media Checker,It checks whether an email is used in 48 different social channels. It also provides information about data leaks involving the email address.,9.4,"12,271 ms",65%
https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,2023-04, Greip ,Greip,Deploy AI-Powered modules to prevent payment fraud,9.4,"1,962 ms",100%
https://rapidapi.com/cavsn/api/token-scanner-multichain-honeypot-checker-multichain/,2023-10, cavsn ,Token Scanner Multichain | Honeypot Checker Multichain,"Token scanner and honeypot checker multichain. Buy/sell tax, suspicious functions, liquidity, ownership etc.",9.4,"1,896 ms",90%
https://rapidapi.com/inca-digital123-rd-team/api/scam-fraud-data/,2023-10, Inca Digital ,Scam & Fraud Data,"The Inca Digital - Scam & Fraud Data API delivers information about scam/fraud related entities, exposure events, and victim reports. Data is collected from a variety of open sources, normalized, and enriched to provide a flexible, user-friendly, programmatic interface.",8.8,"3,381 ms",100%
https://rapidapi.com/fdis-fdis-default/api/aka-bmp/,2023-11, FDIS ,Aka BMP,Akamai BMP API,9.2,726 ms,100%
https://rapidapi.com/beyotek-beyotek-default/api/randomproxy/,2023-09, Beyotek ,RandomProxy,Returns a random proxy IP and port. Proxys are validated often to ensure uptime.,8.9,6 ms,100%
https://rapidapi.com/lazenifofana/api/dns-tunneling-detection-api/,2023-07, Fraudapi ,DNS Tunneling Detection API,"This API helps you proactively defend against DNS tunneling attack & threat. It uses machine learning to analyze the behavioral qualities of DNS queries, including n-gram frequency analysis of domains, entropy, query rate, and patterns to determine if the query is consistent with a DNS tunneling-based attack.",8.5,891 ms,100%
https://rapidapi.com/Whipcode/api/whipcode/,2023-06, Whipcode ,Whipcode,A low cost API for running untrusted code securely on remote servers.,8.7,"2,049 ms",100%
