API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/referential/api/referential/,2023-05, Referential-IO ,Referential,"The fastest API to access countries, states, cities, continents, dial and zip codes in up to 20 languages. A collection of data APIs to support forms, signups, search and lookup. Our endpoints are optimized for speed and size. Our data is regularly maintained and comes from International Standardization bodies, the United Nations, government surveys and GIS datasets. We do not scrape WikiPedia etc",9.9,41 ms,100%
https://rapidapi.com/referential/api/referential/,2023-05, Referential-IO ,Referential,"The fastest API to access countries, states, cities, continents, dial and zip codes in up to 20 languages. A collection of data APIs to support forms, signups, search and lookup. Our endpoints are optimized for speed and size. Our data is regularly maintained and comes from International Standardization bodies, the United Nations, government surveys and GIS datasets. We do not scrape WikiPedia etc",9.9,41 ms,100%
https://rapidapi.com/natkapral/api/countries-cities/,2023-03, Geo API ,Countries Cities,Provides geo location and information about countries and cities,9.7,198 ms,100%
https://rapidapi.com/natkapral/api/countries-cities/,2023-03, Geo API ,Countries Cities,Provides geo location and information about countries and cities,9.7,198 ms,100%
https://rapidapi.com/natkapral/api/ip-geo-location/,2023-03, Geo API ,IP Geo Location,"API returns location data such as country, city, latitude, longitude, timezone, asn, currency, security data for IPv4 and IPv6 addresses in JSON or XML formats.",9.9,221 ms,100%
https://rapidapi.com/natkapral/api/ip-geo-location/,2023-03, Geo API ,IP Geo Location,"API returns location data such as country, city, latitude, longitude, timezone, asn, currency, security data for IPv4 and IPv6 addresses in JSON or XML formats.",9.9,221 ms,100%
https://rapidapi.com/googlecloud/api/google-maps-geocoding/,2021-11, Google Cloud ,Google Maps Geocoding,"Geocoding is the process of converting addresses (like ""1600 Amphitheatre Parkway, Mountain View, CA"") into geographic coordinates (like latitude 37.423021 and longitude -122.083739), which you can use to place markers on a map, or position the map.",9.8,114 ms,100%
https://rapidapi.com/googlecloud/api/google-maps-geocoding/,2021-11, Google Cloud ,Google Maps Geocoding,"Geocoding is the process of converting addresses (like ""1600 Amphitheatre Parkway, Mountain View, CA"") into geographic coordinates (like latitude 37.423021 and longitude -122.083739), which you can use to place markers on a map, or position the map.",9.8,114 ms,100%
https://rapidapi.com/Spott/api/spott/,2023-07, Manuel de la Torre ,Spott,"Search cities, countries and administrative divisions by name, autocompletion or IP.",9.8,348 ms,100%
https://rapidapi.com/Spott/api/spott/,2023-07, Manuel de la Torre ,Spott,"Search cities, countries and administrative divisions by name, autocompletion or IP.",9.8,348 ms,100%
https://rapidapi.com/fastah-network-kit-fastah-network-kit-default/api/ip-location2/,2023-03, Fastah Network Kit ,IP Location,"IP Geolocation API for City, Country, Currency, Languages, Timezone, and Maps",9.5,556 ms,100%
https://rapidapi.com/fastah-network-kit-fastah-network-kit-default/api/ip-location2/,2023-03, Fastah Network Kit ,IP Location,"IP Geolocation API for City, Country, Currency, Languages, Timezone, and Maps",9.5,556 ms,100%
https://rapidapi.com/eec19846/api/geocoder-united-states-census-bureau/,2021-11, Sri ,Geocoder - United States Census Bureau,Census geocoder provides interactive & programmatic (REST) access to users interested in matching addresses to geographic locations and entities containing those addresses.,9.7,537 ms,100%
https://rapidapi.com/eec19846/api/geocoder-united-states-census-bureau/,2021-11, Sri ,Geocoder - United States Census Bureau,Census geocoder provides interactive & programmatic (REST) access to users interested in matching addresses to geographic locations and entities containing those addresses.,9.7,537 ms,100%
https://rapidapi.com/andruxnet/api/world-cities/,2022-11, Andres Olvera ,World Cities,"Get a list of cities that match a search criteria. Results in JSON and include city, state and country. Search criteria is also applied to states and countries. Optionally, provide a ""searchby"" parameter that can be one of ""city"", ""state"" or ""country"" to narrow the results.",9.5,879 ms,100%
https://rapidapi.com/andruxnet/api/world-cities/,2022-11, Andres Olvera ,World Cities,"Get a list of cities that match a search criteria. Results in JSON and include city, state and country. Search criteria is also applied to states and countries. Optionally, provide a ""searchby"" parameter that can be one of ""city"", ""state"" or ""country"" to narrow the results.",9.5,879 ms,100%
https://rapidapi.com/fcambus/api/telize/,2021-11, Frederic Cambus ,Telize,"Telize offers a JSON IP and GeoIP REST API allowing to get a visitor IP address and to query location information from any IP address. It outputs JSON-encoded IP geolocation data, and supports both Cross-origin resource sharing (CORS) and JSONP.",9.9,113 ms,100%
https://rapidapi.com/fcambus/api/telize/,2021-11, Frederic Cambus ,Telize,"Telize offers a JSON IP and GeoIP REST API allowing to get a visitor IP address and to query location information from any IP address. It outputs JSON-encoded IP geolocation data, and supports both Cross-origin resource sharing (CORS) and JSONP.",9.9,113 ms,100%
https://rapidapi.com/transloc/api/openapi-1-2/,2023-09, TransLoc ,OpenAPI 1.2,The TransLoc PublicAPI is a RESTful API which allows you to incorporate real-time vehicle tracking information into your web or mobile applications. It exposes several resources that allow you to access real-time information about transit systems tracked by TransLoc Inc.,9.9,106 ms,100%
https://rapidapi.com/transloc/api/openapi-1-2/,2023-09, TransLoc ,OpenAPI 1.2,The TransLoc PublicAPI is a RESTful API which allows you to incorporate real-time vehicle tracking information into your web or mobile applications. It exposes several resources that allow you to access real-time information about transit systems tracked by TransLoc Inc.,9.9,106 ms,100%
