API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/MoonAPIcom/api/moon-phase/,2023-11, Moon-API.com ,Moon Phase,"1000+ Active Users - The MoonAPI provides lunar and astronomical data, including moon phases, sun data, and zodiac signs, with additional endpoints for generating lunar calendars.",9.7,462 ms,98%
https://rapidapi.com/uphere.space/api/uphere-space1/,2021-11, upheredotspace ,UPHERE.SPACE,Real-time satellite tracking and predictions,9.6,396 ms,100%
https://rapidapi.com/gbattaglia/api/astrologer/,2023-09, Astrologer ,Astrologer,"Astrology made easy! Astrological calculation, birth charts, composite charts in SVG. Plus all astrological data.",9.7,836 ms,95%
https://rapidapi.com/carbonandmore-carbonandmore-default/api/carbonfootprint1/,2021-11, CarbonAndMore ,CarbonFootprint,"Calculate the carbon footprint in various situations, such as travel and hydro usage.",9.6,338 ms,95%
https://rapidapi.com/dbarkman/api/everyearthquake/,2023-04, dbarkman ,EveryEarthquake,"Get every earthquake and any other event that registers on the richter scale ever catalogued by the USGS, with very detailed location data.",9.8,"2,280 ms",100%
https://rapidapi.com/soralapps/api/daily-horoscope-api/,2023-11, SoralApps ,Daily Horoscope API,"The Daily Horoscope API is your go-to source for daily horoscope readings for all 12 zodiac signs, along with fascinating fun trivia. Delving into six essential categories, namely Personal Life, Professional Life, Health, Emotions, Travel, and Luck, this API offers a comprehensive astrological experience.",9.6,"1,431 ms",100%
https://rapidapi.com/apininjas/api/planets-by-api-ninjas/,2023-05, API Ninjas Team ,Planets by API-Ninjas,Get statistics on thousands of planets in the known universe. See more info at https://api-ninjas.com/api/planets.,9.7,"1,086 ms",82%
https://rapidapi.com/carbonsutra/api/carbonsutra1/,2023-09, Carbon Sutra ,CarbonSutra,Carbon Emission Footprint Estimation for Organizations.,9.7,"1,368 ms",100%
https://rapidapi.com/astronomyapi-astronomyapi-default/api/astronomy/,2022-11, AstronomyAPI ,Astronomy,A data retrieval interface for the skies... (visit astronomyapi.com and obtain your free API key),9.7,"1,402 ms",100%
https://rapidapi.com/newbAPIOfficial/api/planets-info-by-newbapi/,2023-04, newbAPIOfficial ,Planets Info by NewbAPI,Basic Information about planet,9.7,985 ms,99%
https://rapidapi.com/a0m0rajab/api/daily-knowledge/,2023-01, a0m0rajab ,Daily Knowledge,Getting a daily information of knowledge for specific project. This information change every 24 hour,9.7,657 ms,100%
https://rapidapi.com/Rufasa85/api/manatee-jokes/,2021-11, Joe Rehfuss ,manatee jokes,A CORS-enabled collection of manatee jokes,9.6,500 ms,100%
https://rapidapi.com/rene-mdd/api/daily-atmosphere-carbon-dioxide-concentration/,2021-11, Rene R. ,Daily atmosphere carbon dioxide concentration,"This API provides on a quasi-daily basis, the amount of carbon dioxide (CO2) in the atmosphere from 2010.01.01 to the present. It is expressed as a mole fraction in dry air, parts per million (ppm).",9.8,130 ms,100%
https://rapidapi.com/raz0229/api/al-quran1/,2022-11, RAZ0229 ,Al-Quran,"Quickly retrieve original Arabic text, translation, transliteration and Word Search from the Koran /Quran",9.8,148 ms,100%
https://rapidapi.com/apininjas/api/stars-by-api-ninjas/,2023-05, API Ninjas Team ,Stars by API-Ninjas,Get key statistics for thousands of stars discovered in the known universe. See more info at https://api-ninjas.com/api/stars.,9.3,518 ms,100%
https://rapidapi.com/clear-skies-clear-skies-default/api/papermill-alarm/,2023-11, Clear Skies ,Papermill Alarm,"This is the public version of the Papermill Alarm. It gives a simple traffic-light classification for newly submitted papers. Built using PubMed data. **By using this API, you agree to the ""terms of use"" under 'About' and 'Resources'.**",9.2,"2,225 ms",100%
