API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/darkskyapis/api/dark-sky/,2021-11, Dark Sky ,Dark Sky,"The easiest, most advanced, weather API on the web.",9.8,133 ms,100%
https://rapidapi.com/darkskyapis/api/dark-sky/,2021-11, Dark Sky ,Dark Sky,"The easiest, most advanced, weather API on the web.",9.8,133 ms,100%
https://rapidapi.com/weatherbit/api/air-quality/,2023-03, Weatherbit ,Air Quality,"Retrieve current, forecasted, and historical air quality for any point in the world.",9.8,357 ms,100%
https://rapidapi.com/weatherbit/api/air-quality/,2023-03, Weatherbit ,Air Quality,"Retrieve current, forecasted, and historical air quality for any point in the world.",9.8,357 ms,100%
https://rapidapi.com/apihood/api/tides/,2022-11, API Hood ,Tides,Global Tides API provides tidal heights predictions at any location of the World Ocean.,9.8,594 ms,100%
https://rapidapi.com/apihood/api/tides/,2022-11, API Hood ,Tides,Global Tides API provides tidal heights predictions at any location of the World Ocean.,9.8,594 ms,100%
https://rapidapi.com/interzoid/api/us-weather-by-zip-code/,2021-11, Interzoid ,US Weather By Zip Code,Provides current weather information for US cities by zip code,9.7,46 ms,100%
https://rapidapi.com/interzoid/api/us-weather-by-zip-code/,2021-11, Interzoid ,US Weather By Zip Code,Provides current weather information for US cities by zip code,9.7,46 ms,100%
https://rapidapi.com/visual-crossing-corporation-visual-crossing-corporation-default/api/visual-crossing-weather/,2021-11, Visual Crossing Corporation ,Visual Crossing Weather,Visual Crossing Weather API provides instant access to both historical weather records and weather forecast data,9.9,176 ms,100%
https://rapidapi.com/visual-crossing-corporation-visual-crossing-corporation-default/api/visual-crossing-weather/,2021-11, Visual Crossing Corporation ,Visual Crossing Weather,Visual Crossing Weather API provides instant access to both historical weather records and weather forecast data,9.9,176 ms,100%
https://rapidapi.com/weatherapi/api/weatherapi-com/,2023-05, WeatherAPI.com ,WeatherAPI.com,"WeatherAPI.com is a powerful fully managed free weather and geolocation API provider that provides extensive APIs that range from the weather forecast, historical weather, future weather, weather alerts, air quality data, IP lookup, and astronomy through to sports, time zone, and geolocation.",9.9,148 ms,100%
https://rapidapi.com/weatherapi/api/weatherapi-com/,2023-05, WeatherAPI.com ,WeatherAPI.com,"WeatherAPI.com is a powerful fully managed free weather and geolocation API provider that provides extensive APIs that range from the weather forecast, historical weather, future weather, weather alerts, air quality data, IP lookup, and astronomy through to sports, time zone, and geolocation.",9.9,148 ms,100%
https://rapidapi.com/worldapi/api/open-weather13/,2023-04, worldapi ,Open Weather,Get weather data for any location on the globe immediately with our superb API,9.8,882 ms,97%
https://rapidapi.com/worldapi/api/open-weather13/,2023-04, worldapi ,Open Weather,Get weather data for any location on the globe immediately with our superb API,9.8,882 ms,97%
https://rapidapi.com/MeteosourceWeather/api/ai-weather-by-meteosource/,2023-05, MeteosourceWeather ,AI Weather by Meteosource,"Accurate hyper-local weather forecasts, powered by our cutting-edge machine learning (ML) models. Historical weather, current weather, weather statistics , and hour-by-hour forecast - all weather data updated in real-time!",9.8,446 ms,100%
https://rapidapi.com/MeteosourceWeather/api/ai-weather-by-meteosource/,2023-05, MeteosourceWeather ,AI Weather by Meteosource,"Accurate hyper-local weather forecasts, powered by our cutting-edge machine learning (ML) models. Historical weather, current weather, weather statistics , and hour-by-hour forecast - all weather data updated in real-time!",9.8,446 ms,100%
https://rapidapi.com/arsen1c/api/the-weather-api/,2023-06, arsen1c ,The Weather API,Get the updated and hyper-accurate weather/aqi information of any city.,9.7,"3,314 ms",98%
https://rapidapi.com/arsen1c/api/the-weather-api/,2023-06, arsen1c ,The Weather API,Get the updated and hyper-accurate weather/aqi information of any city.,9.7,"3,314 ms",98%
https://rapidapi.com/doegs/api/vision-weather-map/,2021-11, doegs ,Vision Weather Map,Obtain weather forecast and forecast for diverse cities.,9.6,522 ms,100%
https://rapidapi.com/doegs/api/vision-weather-map/,2021-11, doegs ,Vision Weather Map,Obtain weather forecast and forecast for diverse cities.,9.6,522 ms,100%
https://rapidapi.com/wettercom-wettercom-default/api/forecast9/,2021-11, wettercom ,Forecast,Get 16 days weather forecast data - worldwide - geographical coordinates...,9.9,107 ms,100%
https://rapidapi.com/wettercom-wettercom-default/api/forecast9/,2021-11, wettercom ,Forecast,Get 16 days weather forecast data - worldwide - geographical coordinates...,9.9,107 ms,100%
https://rapidapi.com/meteostat/api/meteostat/,2021-11, Meteostat ,meteostat,Historical Weather & Climate Data API,9.9,385 ms,100%
https://rapidapi.com/meteostat/api/meteostat/,2021-11, Meteostat ,meteostat,Historical Weather & Climate Data API,9.9,385 ms,100%
https://rapidapi.com/aptitudeapps/api/easy-weather1/,2023-06," Aptitude Apps, LLC ",Easy Weather,"Detailed current conditions, hourly forecasts, daily forecasts, and weather alerts by latitude and longitude in JSON format.",9.6,421 ms,100%
https://rapidapi.com/aptitudeapps/api/easy-weather1/,2023-06," Aptitude Apps, LLC ",Easy Weather,"Detailed current conditions, hourly forecasts, daily forecasts, and weather alerts by latitude and longitude in JSON format.",9.6,421 ms,100%
https://rapidapi.com/onetech265/api/weather-api-by-any-city/,2023-03, One Tech ,Weather API - By Any City,"The API provides current weather information for a specific city worldwide. It allows users to retrieve up-to-date information on weather conditions, such as temperature, humidity, wind speed, and precipitation, for a specified location.",9.5,"1,800 ms",99%
https://rapidapi.com/onetech265/api/weather-api-by-any-city/,2023-03, One Tech ,Weather API - By Any City,"The API provides current weather information for a specific city worldwide. It allows users to retrieve up-to-date information on weather conditions, such as temperature, humidity, wind speed, and precipitation, for a specified location.",9.5,"1,800 ms",99%
https://rapidapi.com/fireside-worldwide-fireside-worldwide-default/api/plant-hardiness-zone/,2021-11, Fireside Worldwide ,Plant Hardiness Zone,Retrieve the USDA Plant Hardiness Zone for a ZIP code,9.5,138 ms,100%
https://rapidapi.com/fireside-worldwide-fireside-worldwide-default/api/plant-hardiness-zone/,2021-11, Fireside Worldwide ,Plant Hardiness Zone,Retrieve the USDA Plant Hardiness Zone for a ZIP code,9.5,138 ms,100%
https://rapidapi.com/apishub/api/yahoo-weather5/,2023-01, apishub ,Yahoo Weather,Yahoo Free Weather APIs,9.9,"1,809 ms",99%
https://rapidapi.com/apishub/api/yahoo-weather5/,2023-01, apishub ,Yahoo Weather,Yahoo Free Weather APIs,9.9,"1,809 ms",99%
https://rapidapi.com/Macca895/api/sunrise-sunset-times/,2023-06, Macca895 ,Sunrise Sunset Times,"Get sunrise and sunset times using date, latitude, and longitude.",9.8,656 ms,100%
https://rapidapi.com/Macca895/api/sunrise-sunset-times/,2023-06, Macca895 ,Sunrise Sunset Times,"Get sunrise and sunset times using date, latitude, and longitude.",9.8,656 ms,100%
https://rapidapi.com/apininjas/api/weather-by-api-ninjas/,2023-05, API Ninjas Team ,Weather by API-Ninjas,Get the latest weather data for any region in the world. See more info at https://api-ninjas.com/api/weather.,9.9,845 ms,100%
https://rapidapi.com/apininjas/api/weather-by-api-ninjas/,2023-05, API Ninjas Team ,Weather by API-Ninjas,Get the latest weather data for any region in the world. See more info at https://api-ninjas.com/api/weather.,9.9,845 ms,100%
