API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/opengraphio-opengraphio-default/api/opengraph-io/,2023-05, OpenGraphIO ,Opengraph.io,"Simplest API to unfurl URL descriptions, titles, images, products, from all sites without being blocked. Fast and reliable.",9.6,"2,141 ms",99%
https://rapidapi.com/opengraphio-opengraphio-default/api/opengraph-io/,2023-05, OpenGraphIO ,Opengraph.io,"Simplest API to unfurl URL descriptions, titles, images, products, from all sites without being blocked. Fast and reliable.",9.6,"2,141 ms",99%
https://rapidapi.com/googlecloud/api/google-translate1/,2021-11, Google Cloud ,Google Translate,Dynamically translate between languages.,9.9,739 ms,100%
https://rapidapi.com/googlecloud/api/google-translate1/,2021-11, Google Cloud ,Google Translate,Dynamically translate between languages.,9.9,739 ms,100%
https://rapidapi.com/rokish/api/lingua-robot/,2021-11, Roman Kishchenko ,Lingua Robot,"English dictionary API providing an access to data of over 800 000 English lexical entries, such as words, phrasal verbs, multiword expressions etc. Use the API to get word definitions, usage examples, pronunciations, synonyms and antonyms or for text processing (lemmatization, morpheme segmentation, root word extraction, word inflections).",9.8,224 ms,100%
https://rapidapi.com/rokish/api/lingua-robot/,2021-11, Roman Kishchenko ,Lingua Robot,"English dictionary API providing an access to data of over 800 000 English lexical entries, such as words, phrasal verbs, multiword expressions etc. Use the API to get word definitions, usage examples, pronunciations, synonyms and antonyms or for text processing (lemmatization, morpheme segmentation, root word extraction, word inflections).",9.8,224 ms,100%
https://rapidapi.com/petapro/api/linguatools-sentence-generating/,2021-11, petapro ,Linguatools Sentence Generating,An API for generating English sentences for a given input.,9.5,226 ms,100%
https://rapidapi.com/petapro/api/linguatools-sentence-generating/,2021-11, petapro ,Linguatools Sentence Generating,An API for generating English sentences for a given input.,9.5,226 ms,100%
https://rapidapi.com/petapro/api/linguatools-english-collocations/,2023-04, petapro ,Linguatools English Collocations,Looks up a word in a dictionary and returns all collocations,9.6,62 ms,100%
https://rapidapi.com/petapro/api/linguatools-english-collocations/,2023-04, petapro ,Linguatools English Collocations,Looks up a word in a dictionary and returns all collocations,9.6,62 ms,100%
https://rapidapi.com/twinword/api/emotion-analysis/,2023-07, Twinword API ,Emotion Analysis,What emotions are in this text...? Detect the emotions of a paragraph of text.,9.7,"1,686 ms",99%
https://rapidapi.com/twinword/api/emotion-analysis/,2023-07, Twinword API ,Emotion Analysis,What emotions are in this text...? Detect the emotions of a paragraph of text.,9.7,"1,686 ms",99%
https://rapidapi.com/twinword/api/text-similarity/,2023-07, Twinword API ,Text Similarity,"Evaluate the similarity of two words, sentences, or paragraphs",9.8,176 ms,100%
https://rapidapi.com/twinword/api/text-similarity/,2023-07, Twinword API ,Text Similarity,"Evaluate the similarity of two words, sentences, or paragraphs",9.8,176 ms,100%
https://rapidapi.com/twinword/api/keyword-suggestion/,2023-07, Twinword API ,Keyword Suggestion,Get keywords and search volume for PPC and SEO scored by relevance.,9.8,"3,841 ms",100%
https://rapidapi.com/twinword/api/keyword-suggestion/,2023-07, Twinword API ,Keyword Suggestion,Get keywords and search volume for PPC and SEO scored by relevance.,9.8,"3,841 ms",100%
https://rapidapi.com/Textgears/api/textgears/,2023-09, Textgears ,TextGears,AI-empowered spelling and grammar checker with automatic correction. Text summarization and keyword extraction. Language detection. Readability calculator.,9.8,830 ms,100%
https://rapidapi.com/Textgears/api/textgears/,2023-09, Textgears ,TextGears,AI-empowered spelling and grammar checker with automatic correction. Text summarization and keyword extraction. Language detection. Readability calculator.,9.8,830 ms,100%
https://rapidapi.com/textapi/api/textapi/,2021-11, textapi ,TextAPI,"A text extraction, manipulation, and analysis api. Putting the power of natural language processing (nlp) in every developers hands.",9.6,"28,637 ms",100%
