API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/stromdao-stromdao-default/api/solarenergyprediction/,2023-01, STROMDAO ,SolarEnergyPrediction,AI-based photovoltaic power prediction for PV plants. Powered by our industry-leading irradiance and real-time weather data. [![Run in Postman](https://run.pstmn.io/button.svg)](https://app.getpostman.com/run-collection/1c42c9f6baae1a51ad9a),9.6,"20,221 ms",66%
https://rapidapi.com/stromdao-stromdao-default/api/marktdaten-deutschland/,2022-11, STROMDAO ,Marktdaten Deutschland,Prognose des regionalen Strompreises,9.6,295 ms,100%
https://rapidapi.com/mi8y-mi8y-default/api/daily-petrol-diesel-lpg-cng-fuel-prices-in-india/,2023-06, mi8y ,"Daily Petrol, Diesel, LPG & CNG Fuel Prices in India",,9.8,643 ms,100%
https://rapidapi.com/stromdao-stromdao-default/api/electricity-carbon-footprint-germany/,2021-11, STROMDAO ,Electricity Carbon Footprint Germany,CO2 Footprint of current electricity in Germany.,9.0,118 ms,100%
https://rapidapi.com/tango-api-tango-api-default/api/daily-fuel-price-india1/,2023-05, Tango Api ,Daily Fuel Price India,"Get daily Petrol, Diesel and LPG fuel prices for Indian cities, states",8.8,275 ms,100%
https://rapidapi.com/stromdao-stromdao-default/api/warmepumpen-steuerungssignal/,2022-11, STROMDAO ,Wärmepumpen Steuerungssignal,Strom-wärmegeführter Betrieb von Wärmepumpen auf Basis der Prognose von regionalem Ökostrom.,8.9,248 ms,100%
https://rapidapi.com/buildingviz-buildingviz-default/api/caiso/,2022-11, BuildingViz ,CAISO,"API for California Independent System Operator data provided from caiso.com. It includes data on energy emissions, demand, supply, and prices. Updated daily.",9.4,"10,747 ms",79%
https://rapidapi.com/andero-VDilSNebN/api/europe-fuel-prices/,2023-02, Andero Av ,Europe Fuel Prices,Fuel prices from European Commision website,9.1,"2,827 ms",95%
https://rapidapi.com/stromdao-stromdao-default/api/standardlastprofil-rechner/,2022-11, STROMDAO ,Standardlastprofil-Rechner,"Mithilfe der Standardlastprofile ist es möglich auf Basis des Jahresverbrauchs und definierter, typischer Verbrauchsgruppen eine Schätzung des Stromverbrauchs eines Zeitraumes vorzunehmen. Alternativ kann bei bekanntem Verbrauch eines Zeitraumes der Jahresverbrauch ermittelt werden.",9.0,619 ms,99%
https://rapidapi.com/stromdao-stromdao-default/api/co2-offset/,2022-11, STROMDAO ,CO2 Offset,GreenHouseGas/CO2 compensation as a service. Get 1kg/month for free to see how easy it is to implement.,9.3,"2,437 ms",57%
https://rapidapi.com/stromdao-stromdao-default/api/ecoweather/,2022-11, STROMDAO ,ecoweather,"Economically relevant meteorological data like heat degree days, average temperature.",9.4,"3,784 ms",87%
https://rapidapi.com/nemy-nemy/api/nemy/,2022-11, nemy ,nemy,nemy tracks the National Electricity Market (NEM) in Australia. nemy API has a collection of simple endpoints that are designed to help people align their electricity usage with times of abundant renewable energy.,9.4,"2,895 ms",89%
https://rapidapi.com/willyfromtheblock/api/pvpc-hourly-spanish-energy-prices-api/,2023-05, willyfromtheblock ,PVPC hourly Spanish energy prices API,"Aggregated hourly data for Spanish electricity prices ""Precio voluntario para el pequeño consumidor"" (PVPC).",9.0,191 ms,100%
https://rapidapi.com/miesolavi/api/electricity-price/,2023-09, miesolavi ,Electricity Price,The Electricity Price API offers real-time spot prices for European electricity with analytical tools for market analysis.,8.8,"1,398 ms",100%
https://rapidapi.com/zoal21301/api/electric-vehicle-charging-station-and-point/,2023-02, Mohammed Abdalazeez ,ELECTRIC VEHICLE CHARGING STATION AND POINT,Ev charging station and point over the world API,8.8,425 ms,100%
https://rapidapi.com/clenox/api/opentpl1/,2021-11, stickyMonkeyFlowerLabs ,OPENTPL,Unofficial KasaSmart Plug & Switch API,9.3,"1,348 ms",100%
https://rapidapi.com/miesolavi/api/co2-emissions/,2023-09, miesolavi ,CO2 Emissions,Effortlessly quantify and monitor carbon footprints with our precise CO2 Emissions API,8.4,277 ms,91%
https://rapidapi.com/dmouratidis153/api/cygaz/,2023-07, Dimitrios Mouratidis ,CyGaz,Cyprus Gas Prices Unlead 95 Unlead 98 Diesel heat Diesel auto Kerosene petroleum_type 1 2 3 4 5,8.1,140 ms,100%
https://rapidapi.com/enegaeruapi/api/enegaeru-home-energy-plan-simulator/,2021-11, enegaeruapi ,Enegaeru Home Energy Plan Simulator,Enegaeru Home Energy Plan Simulator can Simulate your home energy consumption plan.,,,
https://rapidapi.com/mariano-S5TXhNSEEEK/api/uruguay-fuels-api/,2022-11, Mariano B. ,Uruguay Fuels API,"This is an API to retrieve current fuel prices in Uruguay. There are 7 different fuel types: Super 95 30S, Premium 97 30S, Gas Oil 10S, Gas Oil 50S, Jet A1, AvGas 110/130, Queroseno.",,,
https://rapidapi.com/turvas/api/energy-optimizer/,2022-11, turvas ,energy Optimizer,Provides cheapest electricity hours (considering electricity and transport) in NordPool Baltics area. Can use this to schedule your time-shiftable energy consumption like floor heating and water boilers or electric car charging.,,,
https://rapidapi.com/enegaeruapi/api/enegaeru-home-energy-usage-optimizer/,2021-11, enegaeruapi ,Enegaeru Home Energy Usage Optimizer,Enegaeru Home Energy Usage Optimizer can optimizing your home energy consumption plan.,,,
https://rapidapi.com/contacto.siaho/api/oil-well-directional-drilling-survey-calculations/,2021-11, siaho portal ,Oil Well Directional Drilling Survey Calculations,This web service calculates survey data using minimum curvature method,,,
https://rapidapi.com/panagiotistzimis/api/fuels-live/,2021-11, Panagiotis Tzimis ,Fuels Live,An API with the latest Fuel News around the world,,,
https://rapidapi.com/stromdao-stromdao-default/api/strom-quittung/,2021-11, STROMDAO ,Strom-Quittung,"Erstellung eines Beleges für die Drittbelieferung mit Strom (Ladevorgang, Vermietung, Contracting,...)",0.0,619 ms,17%
https://rapidapi.com/saget/api/cbecs/,2023-01, sage-t ,CBECS,CBECS survey microdata from the Energy Information Administration. Based on the 2018 survey microdata found here: https://www.eia.gov/consumption/commercial/data/2018/index.php?view=consumption Download the codebook here: https://www.eia.gov/consumption/commercial/data/2018/xls/2018microdata_codebook.xlsx,,,
https://rapidapi.com/t0rkh/api/german-gasstation-prices/,2021-11, Thorsten Hinz ,German Gasstation Prices,This API serves the prices of the german gasstation market.,,,
https://rapidapi.com/stromdao-stromdao-default/api/corrently/,2022-11, STROMDAO ,Corrently,"Corrently - from italian corrente, which is energy",0.0,94 ms,100%
https://rapidapi.com/karthi20012002/api/indian-fuel/,2023-08, KARTHIKEYAN THIRUMALAISAMY ,INDIAN FUEL,This API contains the fuel rate of every city in India. The fuel price of a particular city can also be viewed.,0.0,"127,252 ms",0%
https://rapidapi.com/hafitkode-iLnzlb6I0uv/api/motivation-api1/,2021-11, nickname_ Day ,Motivation-api,inspiration for your work every day,,,
https://rapidapi.com/MaxGadget/api/fuel-rates-india/,2022-11, MaxGadget ,Fuel Rates India,"We have a dedicated and separate section for fuels which mainly contains petrol, diesel, LPG and CNG prices.",,,
https://rapidapi.com/getbauen/api/smart-electric-vehicle-charging/,2021-11, getbauen ,Smart Electric Vehicle Charging,Add smart electric vehicle charge scheduling to your product using our plug-in-play API,,,
https://rapidapi.com/stromdao-stromdao-default/api/regionalkonzept-strom-herkunft/,2021-11, STROMDAO ,Regionalkonzept Strom Herkunft,Access to quality items and classifiers in regional energy markets (Regionale Herkunftsnachweise) in Germany.,0.0,630 ms,18%
https://rapidapi.com/exortika-exortika-default/api/motivation-quotes-api/,2022-11, Exortika ,Motivation Quotes Api,A API for your app which returns random motivational quotes. 10 quotes are added to the api each day,0.1,350 ms,0%
https://rapidapi.com/blueman/api/mamarketa/,2021-11, alifree ,mamarketa,get phone model,,,
https://rapidapi.com/rsafaya/api/edrv-ev-charging/,2021-11, Rupul Safaya ,eDRV EV Charging,Connect & Control Electric Vehicle Chargers from your application,0.1,560 ms,100%
https://rapidapi.com/deiyam88/api/proclima/,2021-11, Deimer Valencia ,proclima,proclima,,,
https://rapidapi.com/enode-enode-default/api/enode-api/,2022-11, Enode ,Enode API,"A single API for hundreds of green energy devices. Easily connect to and control your customers’ electric vehicles, thermostats, solar panels, batteries and more.",,,
