API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Cryptocurrency News,https://rapidapi.com/topapi-topapi-default/api/cryptocurrency-news2/,cryptocurrency-news2.p.rapidapi.com,GET:CoinDesk,Get the top latest news from CoinDesk.,,[{}],[{}]
Cryptocurrency News,https://rapidapi.com/topapi-topapi-default/api/cryptocurrency-news2/,cryptocurrency-news2.p.rapidapi.com,GET:Cointelegraph,Get the top latest news from Cointelegraph.,,[{}],[{}]
Cryptocurrency News,https://rapidapi.com/topapi-topapi-default/api/cryptocurrency-news2/,cryptocurrency-news2.p.rapidapi.com,GET:Bitcoinist,Get the top latest news from Bitcoinist.,,[{}],[{}]
Cryptocurrency News,https://rapidapi.com/topapi-topapi-default/api/cryptocurrency-news2/,cryptocurrency-news2.p.rapidapi.com,GET:Decrypt,Get the top latest news from Decrypt.,,[{}],[{}]
Cryptocurrency News,https://rapidapi.com/topapi-topapi-default/api/cryptocurrency-news2/,cryptocurrency-news2.p.rapidapi.com,GET:BSC News,Get the top latest news from BSC News.,,[{}],[{}]
Cryptocurrency News,https://rapidapi.com/topapi-topapi-default/api/cryptocurrency-news2/,cryptocurrency-news2.p.rapidapi.com,GET:The Guardian,Get the top latest news from The Guardian.,,[{}],[{}]
Hashing api,https://rapidapi.com/vishwaraj/api/hashing-api3/,hashing-api3.p.rapidapi.com,POST:hash,"This API can be used to generate SHA-256 hashes for various purposes, such as securing sensitive data or ensuring data integrity.",,[{}],[{}]
secure-text-api,https://rapidapi.com/pmphobia/api/secure-text-api/,secure-text-api.p.rapidapi.com,POST:decrypt,"This endpoint will decrypt request body ciphertext by privatekey.
It response plaintext as string.",,[{}],[{}]
secure-text-api,https://rapidapi.com/pmphobia/api/secure-text-api/,secure-text-api.p.rapidapi.com,POST:encrypt,"This endpoint will encrypt request body plaintext by publickey.
It response ciphertext as string.
Client can decrypt it by calling decrypt endpoint.",,[{}],[{}]
secure-text-api,https://rapidapi.com/pmphobia/api/secure-text-api/,secure-text-api.p.rapidapi.com,GET:getKey,"This endpoint will generated publickey and privatekey.
It response msgCode as six character string.",,[{}],[{}]
Encryption API,https://rapidapi.com/vishwaraj/api/encryption-api2/,encryption-api2.p.rapidapi.com,POST:Encryption,This api will encrypt the given text,default,[{}],[{}]
Encryption API,https://rapidapi.com/vishwaraj/api/encryption-api2/,encryption-api2.p.rapidapi.com,POST:Decryption,"This api endpoint will decrypt given the key , ciphertext , iv",default,[{}],[{}]
₿ Crypto Whale Tracker 🚀,https://rapidapi.com/emir12/api/crypto-whale-tracker/,crypto-whale-tracker.p.rapidapi.com,GET:Address history,Get activity history of specific address,,[{}],"[{'参数名': ['page_count'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
₿ Crypto Whale Tracker 🚀,https://rapidapi.com/emir12/api/crypto-whale-tracker/,crypto-whale-tracker.p.rapidapi.com,GET:Address projects,Get projects for specific address,,"[{'参数名': ['user_addr', 'chain'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
₿ Crypto Whale Tracker 🚀,https://rapidapi.com/emir12/api/crypto-whale-tracker/,crypto-whale-tracker.p.rapidapi.com,GET:Address balance,Get balance for specific address,,"[{'参数名': ['user_addr', 'chain'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
₿ Crypto Whale Tracker 🚀,https://rapidapi.com/emir12/api/crypto-whale-tracker/,crypto-whale-tracker.p.rapidapi.com,GET:Address net worth sparklines,Get sparklines 24h data for specific address to render chart,,[{}],"[{'参数名': ['user_addr'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
₿ Crypto Whale Tracker 🚀,https://rapidapi.com/emir12/api/crypto-whale-tracker/,crypto-whale-tracker.p.rapidapi.com,GET:Address info,Get info about specific address,,"[{'参数名': ['addr'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
₿ Crypto Whale Tracker 🚀,https://rapidapi.com/emir12/api/crypto-whale-tracker/,crypto-whale-tracker.p.rapidapi.com,GET:Whale portfolios,"Get huge whale portfolios
pagination example: ?start=0&limit=20",,"[{'参数名': ['start', 'limit', 'order_by'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
₿ Crypto Whale Tracker 🚀,https://rapidapi.com/emir12/api/crypto-whale-tracker/,crypto-whale-tracker.p.rapidapi.com,GET:Trade signals,"Parameters:
sort_by: usd_value, time_at",,[{}],"[{'参数名': ['order_by'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
No Intrusive steganografy,https://rapidapi.com/sachadee/api/no-intrusive-steganografy/,no-intrusive-steganografy.p.rapidapi.com,POST:Bind and crypt a message to an image,Bind and crypt a message to an image without modifying the image!,,[{}],[{}]
No Intrusive steganografy,https://rapidapi.com/sachadee/api/no-intrusive-steganografy/,no-intrusive-steganografy.p.rapidapi.com,POST:Get the message binded to an image,Get the hided /crypted message binded to a specific image,,[{}],[{}]
No Intrusive steganografy,https://rapidapi.com/sachadee/api/no-intrusive-steganografy/,no-intrusive-steganografy.p.rapidapi.com,POST:Get user Ref IDs,Get the reference IDs for each message in a specific image!,,[{}],[{}]
